uid,sum(loan_amount)
4,4.723016822
5,6.584074882
6,6.266691431
17,5.657311097
19,5.885770109
23,3.862594545
39,29.301828573999998
43,5.292153929
45,16.737690655
56,6.722718659
57,5.722768363
60,5.292153929
61,4.974842946
64,3.862594545
68,10.558979957
70,6.153413856
71,4.292650699
72,8.877098261
73,21.536642735
79,3.862594545
80,5.292153929
81,5.657311097
87,23.84030701
89,13.471262642
92,9.015667521000001
100,6.292054527
104,5.153538105
109,5.501180385
115,6.316422771
116,26.436171262
117,5.722768363
121,43.082374825
126,24.714230392
133,12.935349236
138,11.445536726
139,35.604166117
142,22.891073452
150,6.405333138
159,11.863625134
170,17.67404819
172,4.974842946
177,5.931812567
181,4.723016822
182,13.9905622
183,5.153538105
188,9.446033644
191,16.8509527
193,11.587783635
201,11.721810869999999
202,29.514510164999997
203,4.723016822
215,13.30831822
216,5.781982259
235,5.405415974
236,5.722768363
239,27.865916398
241,5.292153929
258,24.004319957
259,4.723016822
261,5.722768363
266,5.722768363
276,6.153413856
283,5.153538105
287,5.292153929
295,16.321850948999998
298,16.740856610999998
315,8.406967941
316,4.723016822
321,4.292650699
325,6.153413856
334,23.352039894
339,43.425150005
343,5.722768363
348,4.723016822
354,6.584074882
358,4.974842946
361,9.267493645
367,4.292650699
368,4.8616016
385,8.771628889999999
387,4.723016822
389,17.928622869
393,9.363243269
394,6.292054527
400,5.885770109
404,64.068980422
406,26.61663644
419,10.989578865999999
420,9.178540346
421,3.975670565
425,5.722768363
436,23.857750446999997
439,9.811245964000001
440,3.862594545
444,4.544373396
451,4.723016822
458,4.154158974
460,23.810485872
463,5.292153929
470,5.931812567
473,8.519906193
478,6.183727411
483,5.722768363
485,5.722768363
490,5.722768363
504,46.926969848000006
505,6.153413856
506,9.697859768
517,14.672702714
539,10.848504202
547,4.292650699
555,11.306905374
568,14.517113965
569,6.781937074
573,6.153413856
578,3.862594545
582,4.723016822
583,22.029844584000003
586,4.974842946
587,5.351362178
594,17.105500311
596,5.153538105
598,6.05244065
606,8.585301398
611,5.292153929
613,74.25421206299998
616,5.722768363
618,19.395719536
620,5.292153929
622,14.924528838
623,11.014922292000001
625,9.307697079
627,15.559150804000002
630,5.292153929
641,6.584074882
643,21.833486588
646,5.153538105
647,5.97467729
651,85.42326779500003
659,4.071302059
660,21.556253708
661,11.59891175
666,3.862594545
668,4.292650699
671,4.974842946
676,3.862594545
681,11.558809124
683,4.723016822
691,18.461701165
693,10.307215925000001
696,10.045435516
706,8.877175796
711,6.722718659
721,5.722768363
723,5.716524366
738,5.931812567
739,9.015667521000001
741,6.292054527
745,51.511808388
746,5.722768363
754,4.154158974
755,6.292054527
758,29.297990307
760,9.927321378
764,4.723016822
765,4.723016822
769,6.405333138
770,4.974842946
774,12.584109054
781,10.30707621
782,5.722768363
786,58.21369321900001
796,5.292153929
798,9.698438928
804,17.171222734
806,6.014774739
814,43.898924644999994
815,6.153413856
818,21.438923011999997
819,4.071302059
825,9.446033644
830,6.240248782
832,21.084344409
836,4.974842946
840,4.292650699
842,38.882376005000005
850,3.862594545
857,5.292153929
873,6.722718659
874,3.862594545
882,15.880434334
893,5.722768363
894,15.295011469
898,4.723016822
900,18.573521733
912,15.360021392
916,5.153538105
920,93.220504059
930,6.212630577
939,5.501180385
950,5.501180385
951,15.103223997
955,13.30831822
957,6.629009152
960,5.722768363
964,15.672412849
974,21.143427553000002
981,3.975670565
994,5.292153929
995,3.862594545
997,6.405333138
1000,26.943786352000004
1004,11.445536726
1008,6.153413856
1011,5.836040761
1017,5.722768363
1022,13.811867041
1023,6.292054527
1028,5.394974879
1032,12.447895942999999
1044,5.781982259
1048,4.292650699
1050,5.690901317
1053,9.932194169999999
1062,37.595410526
1063,8.155245244
1071,11.014922292000001
1075,11.014922292000001
1076,4.544373396
1098,10.584307858
1111,6.014774739
1112,6.292054527
1113,4.723016822
1132,10.697569903000002
1139,6.014774739
1148,5.657311097
1149,5.292153929
1153,9.446188804
1154,5.405415974
1158,5.153538105
1160,6.405333138
1166,12.354646009
1171,3.862594545
1175,21.891236526000004
1176,15.771884280000002
1181,5.292153929
1188,4.723016822
1192,5.292153929
1195,21.774139305
1205,9.446033644
1209,5.292153929
1216,28.015573908
1217,9.154748474
1224,6.722718659
1229,5.153538105
1230,5.292153929
1231,12.337145705
1232,8.585301398
1237,10.876306468
1238,11.445536726
1241,8.585301398
1244,5.722768363
1258,17.771436876
1259,3.862594545
1270,5.405415974
1285,5.97467729
1290,43.066456192000004
1308,4.723016822
1313,19.809250145999997
1314,4.974842946
1325,4.723016822
1327,11.903527435
1328,23.031986549
1332,3.975670565
1333,6.405333138
1337,21.168615716
1341,4.292650699
1348,5.292153929
1351,14.924528838
1355,21.106999977
1357,12.017839789
1358,6.292054527
1369,6.121545176
1373,4.292650699
1377,9.904611509999999
1379,49.907723698999995
1381,11.279111735
1385,11.014922292000001
1387,18.892067288
1396,20.162642143
1400,4.974842946
1402,16.307076221000003
1404,4.8616016
1418,9.015667521000001
1421,11.587783635
1429,5.153538105
1431,5.722768363
1435,4.40582999
1446,7.72518909
1447,5.722768363
1451,5.07059257
1452,9.015667521000001
1458,5.781982259
1459,30.328653563
1467,5.226703564
1475,5.292153929
1477,6.087953139
1478,12.878262066000001
1479,34.336610178
1480,5.153538105
1482,9.43036647
1484,30.324607008999998
1497,6.405333138
1518,4.622092928
1524,5.657311097
1529,10.128381051
1533,4.974842946
1539,15.876461787
1547,36.187879076
1562,5.584137011
1563,11.433015772000001
1575,5.153538105
1579,6.568344441
1585,6.722718659
1593,9.298005623
1594,9.446188804
1595,5.183845743
1598,6.104976146
1608,6.584074882
1609,4.974842946
1612,5.292153929
1614,9.836444546
1628,5.292153929
1631,18.713527288999998
1633,5.292153929
1641,4.292650699
1645,3.975670565
1653,9.268010519
1655,12.262423867999999
1656,16.394968959
1662,38.192200447
1665,9.836527325
1673,5.292153929
1678,5.722768363
1679,5.153538105
1686,4.292650699
1695,20.118787533
1698,5.722768363
1712,5.292153929
1715,5.292153929
1724,5.501180385
1725,5.292153929
1731,8.585301398
1732,20.508674465
1735,10.314806255
1741,6.501109382
1742,6.014774739
1746,10.015419062
1753,5.722768363
1754,9.446033644
1759,4.292650699
1771,5.722768363
1775,40.33414491
1777,5.722768363
1779,11.223948748
1783,5.07059257
1786,9.584618422
1789,4.292650699
1804,8.724196145
1807,5.405415974
1808,15.149878559
1810,5.405415974
1816,5.722768363
1819,25.746792192
1822,4.974842946
1824,4.292650699
1833,5.07059257
1835,5.292153929
1842,16.573728818
1845,6.183727411
1848,5.856412553
1850,8.633085483999999
1852,17.600968919
1855,6.153413856
1856,9.698066673
1857,8.016753519
1859,6.33987127
1864,13.286586028
1867,5.931812567
1868,5.08809119
1869,10.810969961
1873,5.405415974
1877,14.58386041
1889,5.292153929
1892,14.320080466
1906,6.087953139
1908,5.931812567
1909,14.560164448000002
1925,22.575708438
1926,8.155245244
1928,6.121545176
1930,17.168305089
1940,4.723016822
1941,9.015667521000001
1943,6.153413856
1945,5.292153929
1947,3.862594545
1949,9.747792039
1954,4.071302059
1962,11.817582676
1964,6.535635912
1968,66.184511102
1975,5.292153929
1985,4.809815297
1988,17.14549706
1989,6.643293014
1999,5.97467729
2003,43.860421934
2004,17.331306835
2009,21.715699557
2015,28.046319587
2017,4.544373396
2020,10.453407128
2023,5.931812567
2025,6.292054527
2027,4.974842946
2029,5.722768363
2035,5.07059257
2036,4.40582999
2039,10.697611309
2048,47.88651355
2056,5.405415974
2062,5.405415974
2065,13.30831822
2066,4.723016822
2067,14.559978688000001
2068,5.292153929
2070,5.292153929
2073,10.949520236
2077,14.242336591
2079,9.446033644
2080,6.568344441
2089,4.723016822
2092,4.544373396
2095,5.836040761
2096,26.007626890999997
2099,5.722768363
2101,11.737612987
2117,17.515373751
2122,5.405415974
2125,4.723016822
2132,5.970521466
2134,4.723016822
2135,12.306843245
2144,6.183727411
2148,8.644802682
2154,4.292650699
2158,31.370456233
2161,5.722768363
2163,10.168468147999999
2180,3.862594545
2186,8.155245244
2188,20.790783383
2190,5.722768363
2191,16.562626581
2196,4.154158974
2199,18.242999091
2201,5.292153929
2208,5.931812567
2209,5.304455557
2213,8.585611367
2214,12.448205911999999
2215,10.949465026
2220,11.445536726
2222,67.34939837900001
2223,5.722768363
2228,16.602364886
2248,16.740546641999998
2251,30.451035902
2254,11.266831219
2264,6.153413856
2270,12.700032036
2278,3.975670565
2279,21.715720437
2280,8.585301398
2289,22.575811865
2297,5.292153929
2299,4.8616016
2302,4.782208137
2303,10.128381051
2308,5.931812567
2309,18.061945258
2314,3.975670565
2321,4.809815297
2324,5.292153929
2325,5.781982259
2331,6.425705932
2334,5.501180385
2337,4.292650699
2343,3.975670565
2349,6.629009152
2355,3.862594545
2364,18.222914335
2368,4.723016822
2375,10.799690376000001
2378,10.876306468
2383,5.292153929
2384,10.476023331
2402,6.014774739
2417,6.362466936
2419,5.657311097
2428,48.551160413999995
2441,5.292153929
2445,14.702439263000002
2446,5.931812567
2450,12.048671337999998
2452,10.015170751
2456,23.580116966000002
2461,4.723016822
2465,9.584804628
2467,6.153413856
2471,10.015419062
2472,9.113110677
2475,66.569075427
2477,6.121545176
2478,12.445487022
2481,6.895217943
2484,5.153538105
2485,12.306827712
2486,13.88253313
2488,13.990510467
2491,12.69961864
2492,22.712367945
2498,5.836040761
2505,3.862594545
2507,25.121042449
2518,9.015667521000001
2521,6.153413856
2527,6.483098934
2531,6.014774739
2532,12.425261154
2538,9.876554927
2543,5.292153929
2547,15.45037818
2553,12.743711901000001
2561,5.722768363
2582,31.582535211
2583,12.479333775
2584,12.128091146
2585,9.154748474
2586,4.723016822
2591,113.49098850600004
2593,9.363243269
2604,5.657311097
2606,8.957058806
2615,24.989517274
2620,6.266691431
2623,5.292153929
2624,63.568601743
2628,6.722718659
2631,22.324760839
2633,5.722768363
2646,3.862594545
2651,6.153413856
2653,5.657311097
2663,5.722768363
2682,5.292153929
2686,39.198149673
2690,10.380241669
2695,12.447895943
2698,5.722768363
2712,16.085488243
2719,12.448205911999999
2724,18.460241568
2726,5.292153929
2735,9.307697079
2736,5.836040761
2737,6.292054527
2742,39.01944416600001
2743,4.723016822
2749,21.377642172
2751,5.722768363
2754,26.916665767
2760,5.226703564
2762,14.446902403
2763,5.292153929
2764,23.18510593
2774,16.369653601
2778,4.723016822
2785,31.846119766999998
2796,5.722768363
2797,4.974842946
2801,21.445815085
2805,15.281919156
2806,22.671255986000002
2813,4.292650699
2819,5.292153929
2822,6.014774739
2824,4.723016822
2827,6.405333138
2830,12.965060541
2831,12.584109054
2832,4.544373396
2834,16.646864082
2837,5.292153929
2838,10.676920332
2844,13.990510467
2847,6.83599934
2855,15.633299502
2857,6.464550799
2860,13.738684343
2862,5.07059257
2865,5.292153929
2871,6.316422771
2876,5.405415974
2878,9.406636695
2894,11.608538472
2896,11.445536726
2901,4.909401781
2902,9.728160015
2911,4.723016822
2922,6.014774739
2930,5.836040761
2932,22.782837738999998
2939,5.722768363
2942,12.226547303
2948,6.722718659
2949,5.657311097
2953,16.740546642
2954,4.974842946
2955,33.708842316
2957,23.127929036
2962,5.292153929
2965,14.584612475
2971,25.587500067
2973,43.711880565
2983,10.445692034
2993,5.97467729
2995,10.380245119000001
2996,10.876306468
2998,27.127748296
3001,5.292153929
3004,17.739863665999998
3006,4.723016822
3015,8.585301398
3019,5.722768363
3028,5.292153929
3032,68.48185173099999
3035,29.044487308
3039,5.584137011
3050,15.533779774
3057,21.533828094
3076,5.885770109
3077,8.155245244
3085,4.974842946
3086,5.405415974
3091,10.128432796
3094,24.370562482
3107,27.477368686
3111,5.931812567
3113,6.316422771
3123,8.585301398
3127,4.40582999
3130,4.723016822
3131,4.723016822
3132,5.836040761
3133,9.015667521000001
3137,11.587783635
3138,7.72518909
3140,20.603141187
3145,5.292153929
3148,4.723016822
3156,4.8616016
3158,5.292153929
3168,6.405333138
3175,9.793609392
3179,9.949685892
3180,19.312972724999998
3184,10.559057583
3191,16.989599582
3192,6.014774739
3203,49.091368472
3204,5.722768363
3206,6.518612438
3210,10.128432796
3217,5.722768363
3218,9.311350578999999
3220,3.975670565
3236,25.095592539
3237,6.121545176
3239,5.657311097
3244,13.590518401
3247,3.862594545
3249,25.051952608999997
3255,16.737690655
3264,4.974842946
3265,15.737939114
3267,6.05244065
3271,14.990262007999998
3272,15.014342294999999
3274,16.946717110999998
3280,5.753080438
3281,4.292650699
3284,4.723016822
3286,6.501109382
3289,4.227255494
3290,4.723016822
3294,9.614965966
3307,16.598088063
3308,5.781982259
3311,13.723017169
3317,5.292153929
3326,16.255419533
3331,11.337228541
3338,4.723016822
3339,21.03350731
3350,11.445536726
3351,5.501180385
3356,4.723016822
3358,6.629009152
3366,6.83599934
3369,42.757423796
3377,19.282912707
3380,11.266831219
3382,4.723016822
3387,5.722768363
3394,5.657311097
3396,9.836444546
3405,5.292153929
3406,43.490552061
3407,11.306928668000001
3410,11.266810513
3412,14.3086591
3419,13.560040917000002
3431,5.722768363
3433,5.690901317
3452,5.292153929
3454,5.722768363
3461,6.584074882
3462,11.65458093
3465,34.149456658
3470,5.292153929
3476,5.931812567
3477,9.584804628
3478,4.455523524
3482,9.949685892
