ID,²îÖµ,11ÔÂ×Ü´û¿îÍ³¼Æ,11ÔÂ¸ø¶¨×Ü´û¿îÖµ,ÉÌ,ÓàÊý,uid
1,-1,47230168220,47230168221,0,47230168220,4
3,4,65840748820,65840748816,1,4,5
5,-3,62666914310,62666914313,0,62666914310,6
7,4,56573110970,56573110966,1,4,17
9,5,58857701090,58857701085,1,5,19
11,0,38625945450,38625945450,1,0,23
13,2.38372E+11,2.93018E+11,54646261056,5,19786980460,39
15,2,52921539290,52921539288,1,2,43
17,1.04456E+11,1.67377E+11,62920545271,2,41535816008,45
19,1,67227186590,67227186589,1,1,56
21,3,57227683630,57227683627,1,3,57
23,2,52921539290,52921539288,1,2,60
25,2,49748429460,49748429458,1,2,61
27,0,38625945450,38625945450,1,0,64
29,47769976979,1.0559E+11,57819822591,1,47769976979,68
31,-3,61534138560,61534138563,0,61534138560,70
33,3,42926506990,42926506987,1,3,71
35,39911370166,88770982610,48859612444,1,39911370166,72
37,1.61853E+11,2.15366E+11,53513621783,4,1311940218,73
39,0,38625945450,38625945450,1,0,79
41,2,52921539290,52921539288,1,2,80
43,4,56573110970,56573110966,1,4,81
45,1.79085E+11,2.38403E+11,59318125669,4,1130567424,87
47,82309058162,1.34713E+11,52403568258,2,29905489904,89
49,40408245752,90156675210,49748429458,1,40408245752,92
51,-1,62920545270,62920545271,0,62920545270,100
53,3,51535381050,51535381047,1,3,104
55,0,55011803850,0,0,0,109
57,5,63164227710,63164227705,1,5,115
59,1.97011E+11,2.64362E+11,67350224793,3,62311038241,116
61,3,57227683630,57227683627,1,3,117
63,3.66178E+11,4.30824E+11,64645507992,6,42950700298,121
65,1.8386E+11,2.47142E+11,63282576286,3,57294575062,126
67,59860688690,1.29353E+11,69492803670,1,59860688690,133
69,52921228697,1.14455E+11,61534138563,1,52921228697,138
71,2.92877E+11,3.56042E+11,63164227705,5,40220522645,139
73,1.6307E+11,2.28911E+11,65840748816,3,31388488072,142
75,4,64053331380,64053331376,1,4,150
77,55011581984,1.18636E+11,63624669356,1,55011581984,159
79,1.23819E+11,1.7674E+11,52921539288,3,17975864036,170
81,2,49748429460,49748429458,1,2,172
83,1,59318125670,59318125669,1,1,177
85,-1,47230168220,47230168221,0,47230168220,181
87,85354208600,1.39906E+11,54551413400,2,30802795200,182
89,3,51535381050,51535381047,1,3,183
91,42924955393,94460336440,51535381047,1,42924955393,188
93,1.05345E+11,1.6851E+11,63164227705,2,42181071590,191
95,70434102391,1.15878E+11,45443733959,2,24990368432,193
97,54297563429,1.17218E+11,62920545271,1,54297563429,201
