uid,sum(loan_amount)
4,10.989578865999999
23,20.854863884
26,5.716524366
39,9.267824494000001
43,9.949961796
54,5.153538105
64,25.32584804
68,4.455523524
69,3.862594545
71,4.723016822
72,26.709974627
73,4.292650699
80,4.657587153
81,5.657311097
83,4.8616016
85,15.030325815000001
87,9.7232032
89,17.105207591
92,12.017839789
100,6.014774739
103,10.793334313999999
104,3.862594545
109,5.501180385
115,6.316422771
116,16.946717110999998
117,11.380079460000001
118,5.584137011
121,21.077897822
127,10.074632958
134,5.501180385
138,22.891073452
139,52.774458593000006
142,17.168305089
147,4.723016822
153,5.885770109
157,12.777338172
159,5.931812567
163,13.381397491000001
164,6.153413856
170,4.544373396
179,10.128432796
182,110.59056493000001
186,9.015667521000001
188,13.242888551
195,9.107944840999998
201,17.557851631
202,24.047375525
208,5.657311097
211,6.153413856
215,26.61663644
229,11.876182219
235,5.722768363
237,5.931812567
239,17.168305089
243,5.153538105
253,8.585611367
258,19.669259146
259,16.639932717
261,4.974842946
274,6.087953139
276,5.584137011
280,6.722718659
287,9.267493645
294,6.266691431
295,11.168312843999999
298,12.878262066000001
308,4.974842946
313,17.201508379
315,25.896163365
316,4.292650699
320,6.292054527
321,8.837437491
327,4.657587153
339,49.631621646999996
354,18.712176383
360,4.351813812
361,20.341629833
364,8.724196145
375,5.722768363
384,5.670965859
385,22.739066256
391,6.292054527
393,15.337589444999999
394,5.722768363
400,5.885770109
404,36.668656904
406,43.356873113
419,15.851211511999999
421,7.933896603999999
429,6.405333138
431,15.420586725000001
436,23.426833007
438,10.470056455
439,111.60891817400007
449,21.168615716
452,5.501180385
460,23.623223332000002
470,5.931812567
471,6.087953139
473,8.308317948
476,5.153538105
478,6.153413856
485,5.722768363
488,5.97467729
489,18.542386872999998
496,6.722718659
503,10.697611309
504,38.098609168
505,11.411773742000001
506,14.851397873
510,5.584137011
516,9.932194169999999
517,4.974842946
528,5.405415974
530,8.155245244
531,4.723016822
539,16.420544239
547,8.585611367
551,3.862594545
555,17.519535951
558,4.723016822
560,11.205978755
562,13.129674794
568,14.517113965
576,8.957263303
581,14.376003328
582,10.015419062
583,50.283467069000004
586,5.405415974
587,17.472981129
591,4.292650699
594,16.310490488
596,9.876554927
599,5.722768363
606,9.446033644
611,10.445785185
613,58.916909903000004
615,5.931812567
616,11.445536726
618,19.395719535999998
619,11.445536726
622,15.450866277
625,22.437320192
627,5.405415974
630,11.876182219
646,5.07059257
649,5.501180385
651,45.038899703999995
660,16.012328093
661,9.87678771
662,5.405415974
666,9.154748474
668,4.292650699
671,10.015170751
681,11.445536726
682,5.722768363
685,5.657311097
688,5.722768363
691,14.169050466
692,10.445785185
693,15.880434334
696,9.267493645
697,4.974842946
704,4.723016822
706,4.292650699
711,13.445437318
717,4.292650699
729,5.292153929
739,4.974842946
740,9.154748474
741,12.810666276
744,6.722718659
745,31.478672556999996
746,5.292153929
751,5.07059257
754,7.72518909
758,14.672702714
759,4.071302059
769,6.405333138
772,6.584074882
781,9.476333891
786,36.72776652
796,5.584137011
804,26.186270317
813,3.862594545
814,38.324127051999994
818,17.284764038
819,4.071302059
825,14.169050466
828,4.292650699
832,13.990841316000001
834,5.153538105
839,5.97467729
840,5.153538105
842,12.430181552999999
853,6.212630577
854,5.722768363
856,5.292153929
863,10.015419062
873,13.445437318
875,10.266996875
876,6.722718659
882,4.723016822
884,5.781982259
893,5.722768363
894,30.493979845000002
896,4.40582999
900,18.573521733
912,15.420628131
913,5.292153929
916,14.362961481
918,6.316422771
920,9.154252299
921,6.722718659
927,5.722768363
930,5.722768363
939,5.501180385
951,4.723016822
955,7.72518909
957,6.629009152
958,5.657311097
964,25.874269768
974,24.127176387
977,8.837024095
978,9.267493645
994,16.020065481
1004,6.153413856
1011,5.722768363
1020,5.722768363
1022,4.8616016
1027,9.876554927
1028,5.384355326
1030,4.292650699
1032,9.446033644
1040,5.657311097
1045,4.292650699
1053,15.24186052
1056,5.722768363
1059,3.862594545
1060,5.722768363
1061,4.657587153
1062,8.363952758
1071,15.607272893000001
1075,40.12983798
1078,6.153413856
1080,5.292153929
1098,5.405415974
1101,5.97467729
1102,12.447895943
1107,5.722768363
1112,16.964397623
1116,16.876362385
1131,6.121545176
1133,5.722768363
1148,10.527113728
1152,9.85304256
1153,4.723016822
1158,9.015667521000001
1166,11.810718050999998
1171,3.862594545
1175,26.574031690000005
1176,10.316742940000001
1177,9.519354263
1180,5.292153929
1186,7.83826511
1188,5.584137011
1192,31.208077781
1193,5.636249259
1195,34.21775268
1202,5.657311097
1205,8.682779018
1216,31.518024836000006
1217,18.422800399
1220,4.723016822
1229,5.153538105
1230,9.817951297
1233,10.737791561
1234,14.338603089
1238,11.445536726
1239,10.015419062
1241,4.974842946
1244,5.722768363
1248,4.974842946
1251,6.722718659
1258,17.096674096999998
1268,11.445536726
1270,15.658537186
1275,6.087953139
1279,5.722768363
1285,5.97467729
1286,7.72518909
1293,5.292153929
1306,4.455523524
1313,4.723016822
1317,4.723016822
1327,11.903527435
1328,20.460955936
1333,6.405333138
1343,6.05244065
1351,9.949685892
1355,8.837437491
1357,16.675426942
1362,4.974842946
1369,6.121545176
1373,4.292650699
