uid,total_loan_amount
90991,13.2580183
90990,52.16524215
90989,5.931812567
90972,4.974842946
90971,9.584804628
90969,5.722768363
90956,6.722718659
90950,4.292650699
90942,48.50293716
90933,3.862594545
90930,3.862594545
90918,10.58430786
90916,10.87629094
90910,5.722768363
90908,11.77154022
90905,6.014774739
90903,37.84084911
90893,12.06778614
90892,5.292153929
90886,5.722768363
90876,79.5231302
90865,5.405415974
90862,6.212630577
90856,6.183727411
90853,6.121545176
90852,12.13101908
90847,11.44553673
90846,13.62434996
90836,4.974842946
90833,148.374777
90827,4.974842946
90812,5.722768363
90804,6.153413856
90803,28.86746902
90798,25.57757074
90785,4.292650699
90784,4.723016822
90782,3.862594545
90768,16.76803527
90764,6.384269633
90763,4.227255494
90756,23.51980578
90751,12.01783979
90743,4.809815297
90738,5.292153929
90728,4.974842946
90723,8.69853237
90722,11.58420846
90719,5.885770109
90718,6.014774739
90715,7.933896604
90698,4.723016822
90696,5.836040761
90694,5.621800638
90688,13.30831822
90687,9.105345727
90685,11.90352744
90681,14.55964757
90676,10.01541906
90672,6.153413856
90671,6.014774739
90670,10.94946503
90661,16.07897542
90655,27.76582578
90654,34.33661018
90651,5.501180385
90650,5.07059257
90639,58.35107727
90637,11.87618222
90623,4.974842946
90622,10.58430786
90620,12.8779521
90615,6.33987127
90612,10.87630647
90608,4.071302059
90599,5.405415974
90593,9.949685892
90591,5.292153929
90589,10.55897996
90585,5.657311097
90584,52.79406601
90577,22.3241409
90571,11.38017608
90569,6.722718659
90565,5.153538105
90549,5.722768363
90547,9.644012877
90545,4.455523524
90544,19.64754566
90538,12.81066628
90537,5.153538105
90532,5.501180385
90528,4.723016822
90527,16.93379352
90526,12.42526115
90508,9.446033644
90503,4.8616016
90502,19.82655802
90496,10.72194826
90487,10.57806574
90481,13.71274494
90479,13.87171945
90477,5.153538105
90476,14.16304559
90469,3.862594545
90463,19.06132473
90460,4.974842946
90457,16.73774656
90451,5.836040761
90448,5.931812567
90442,18.38097439
90431,18.89206729
90428,20.92171536
90422,5.97467729
90418,11.55880912
90417,6.722718659
90393,6.384269633
90390,25.4237661
90388,5.292153929
90380,4.974842946
90374,8.406967941
90370,4.292650699
90357,14.92204867
90350,4.292650699
90343,4.8616016
90341,5.781982259
90332,5.584137011
90328,17.16830509
90323,4.974842946
90320,5.722768363
90318,16.70263518
90317,10.55895408
90313,6.153413856
90307,10.41382989
90296,4.723016822
90273,11.67208152
90269,11.87618222
90263,4.723016822
90257,4.455523524
90248,17.60096892
90240,13.7940858
90232,16.30707622
90221,15.42062813
90219,23.67366189
90214,6.153413856
90213,6.014774739
90212,10.44569203
90211,5.292153929
90210,12.95134134
90203,14.6193727
90200,4.292650699
90199,9.015667521
90198,11.30692867
90185,12.0994839
90178,9.36377493
90175,4.292650699
90174,4.292650699
90170,5.781982259
90167,4.723016822
90166,5.657311097
90161,4.292650699
90159,8.837437491
90158,11.87622881
90155,59.16572847
90146,16.989641
90137,10.87629094
90135,11.12818434
90129,6.153413856
90128,38.4570213
90125,38.8928128
90116,5.781982259
90103,23.60454398
90102,6.153413856
90089,8.698687387
90079,9.267493645
90075,5.722768363
90073,4.974842946
90071,5.292153929
90069,35.065578
90063,5.292153929
90056,4.657587153
90055,4.723016822
90054,9.405974996
90050,4.292650699
90048,11.15849148
90045,50.74055462
90042,9.326694367
90040,14.73890101
90039,4.544373396
90031,5.501180385
90025,8.99989692
90023,5.405415974
90021,5.722768363
90008,7.72518909
90006,17.30697682
90005,4.974842946
90003,5.292153929
90000,10.98961768
89990,6.153413856
89986,64.38976049
89960,70.47072286
89953,8.585611367
89950,5.722768363
89948,27.98102093
89945,6.153413856
89942,6.153413856
89935,6.014774739
89926,10.26699688
89925,5.153538105
89923,5.722768363
89920,5.722768363
89916,11.44553673
89914,39.72165508
89911,4.544373396
89907,5.584137011
89899,10.27583477
89898,6.153413856
89887,28.09937536
89877,5.292153929
89875,4.292650699
89871,63.28038839
89863,5.722768363
89862,9.267493645
89853,6.405333138
89852,5.292153929
89846,5.584137011
89840,3.862594545
89835,5.657311097
89830,5.292153929
89819,9.793609392
89816,14.44622002
89815,3.862594545
89795,15.51629791
89794,5.584137011
89780,5.97467729
89773,5.292153929
89771,6.240248782
89766,5.153538105
89756,4.544373396
89750,15.45086628
89744,6.292054527
89742,14.87695856
89735,6.121545176
89734,37.91544515
89729,6.722718659
89724,5.292153929
89721,4.292650699
89719,10.1284328
89715,4.974842946
89708,4.292650699
89707,5.97467729
89697,17.16830509
89693,12.63284554
89692,6.464550799
89679,5.292153929
89678,5.781982259
89672,4.723016822
89666,18.58308709
89664,4.292650699
89661,5.405415974
89660,6.014774739
89648,12.18731916
89645,5.153538105
89641,35.47643717
89640,24.37071764
89638,5.501180385
89636,9.267493645
89633,5.292153929
89632,5.931812567
89622,10.22414398
89609,6.781937074
89606,5.97467729
89602,5.405415974
89595,3.975670565
89593,5.292153929
89591,21.19309479
89586,4.974842946
89585,5.292153929
89582,4.974842946
89580,4.723016822
89577,5.405415974
89574,13.56066122
89569,3.862594545
89564,5.501180385
89556,6.118266529
89552,5.292153929
89551,6.629009152
89550,6.722718659
89542,120.2229381
89541,16.16844487
89539,21.53100943
89538,38.28734435
89515,5.722768363
89509,7.933896604
89502,9.697859768
89500,11.44556779
89495,26.00762689
89494,4.351813812
89483,35.38950915
89481,6.212630577
89477,4.723016822
89467,22.712399
89457,9.793831084
89456,10.79333431
89454,5.584137011
89453,5.07059257
89450,3.862594545
89448,5.722768363
89447,11.44556779
89446,6.292054527
89443,6.405333138
89442,29.72869789
89439,19.16453945
89435,29.61561126
89433,5.405415974
89432,10.87629094
89430,4.292650699
89424,24.43492921
89423,23.89471295
89421,6.153413856
89419,5.292153929
89413,54.1470735
89396,4.974842946
89395,3.862594545
89388,8.155245244
89383,12.26673182
89380,14.75953568
89371,12.90873955
89370,5.501180385
89365,5.97467729
89363,11.01492229
89360,11.0880843
89350,21.25654124
89349,5.97467729
89343,6.212630577
89339,10.58430786
89336,4.544373396
89327,6.153413856
89325,5.501180385
89315,8.155245244
89298,20.39537793
89295,5.405415974
89293,5.292153929
89286,4.974842946
89285,26.18034819
89282,11.01492229
89281,13.30831822
89278,11.12819469
89276,6.153413856
89273,3.975670565
89268,9.584618422
89267,6.153413856
89259,4.974842946
89244,4.292650699
89243,9.015667521
89240,26.43871638
89237,5.292153929
89232,5.97467729
89230,15.103224
89225,16.98603725
89224,5.584137011
89221,20.31655035
89219,5.292153929
89216,4.723016822
89211,49.79220371
89193,5.405415974
89186,6.153413856
89172,6.153413856
89167,5.722768363
89165,24.03598955
89164,5.292153929
89163,15.88043433
89160,5.45514134
89156,38.77850625
89145,5.405415974
89143,5.405415974
89132,4.974842946
89128,5.292153929
89125,6.722718659
89124,5.07059257
89111,4.974842946
89110,44.74680758
89109,4.292650699
89108,13.99071737
89105,13.7388395
89100,18.77139452
89098,6.362466936
89091,4.953785867
89086,6.087953139
89084,15.103224
89081,5.722768363
89076,5.836040761
89075,8.585301398
89073,3.862594545
89071,3.862594545
89069,17.1706028
89064,5.292153929
89060,8.585611367
89059,10.91395457
89054,10.78462218
89052,4.723016822
89048,5.405415974
89047,15.73784596
89036,16.72512913
89032,5.781982259
89027,13.00714181
88996,4.809815297
88994,4.974842946
88985,47.23016822
88980,24.6226507
88979,5.07059257
88977,5.153538105
88975,5.885770109
88971,5.292153929
88969,5.753080438
88957,4.974842946
88948,4.723016822
88946,11.94935458
88944,11.8508155
88938,16.73772171
88935,12.72493387
88922,6.584074882
88921,5.153538105
88920,3.862594545
88919,5.722768363
88913,10.01541906
88907,15.64372415
88905,14.67270271
88902,5.97467729
88896,6.643293014
88894,6.292054527
88888,5.722768363
88884,5.710216983
88881,3.862594545
88873,4.723016822
88871,5.292153929
88870,4.974842946
88858,65.65481217
88851,5.153538105
88848,5.292153929
88846,27.00464612
88839,32.02976127
88829,31.93659625
88811,18.33123945
88806,4.974842946
88801,6.722718659
88799,6.405333138
88796,4.974842946
88791,10.26792768
88789,4.657587153
88777,4.974842946
88776,13.30831822
88772,5.722768363
88760,4.974842946
88758,12.12809115
88757,20.173395
88754,7.72518909
88741,21.82575597
88739,8.837437491
88737,5.153538105
88734,29.72705208
88733,19.2826644
88730,4.974842946
88729,6.405333138
88721,4.154158974
88718,6.405333138
88716,6.153413856
88710,6.087953139
88704,19.38995935
88694,6.614389175
88688,4.723016822
88687,23.57366929
88686,5.153538105
88679,5.07059257
88678,3.862594545
88675,9.884244727
88673,11.44553673
88666,6.405333138
88656,5.722768363
88654,5.292153929
88652,5.292153929
88651,4.292650699
88645,4.723016822
88643,6.153413856
88642,4.292650699
88637,4.723016822
88636,11.50478451
88629,5.722768363
88622,40.54157935
88618,27.78899891
88613,4.723016822
88612,5.292153929
88608,9.154748474
88604,9.89965871
88602,5.836040761
88597,5.722768363
88596,10.58430786
88595,5.405415974
88590,12.8779521
88586,5.034043668
88582,11.65458093
88577,13.99051047
88562,5.657311097
88538,4.723016822
88533,5.657311097
88530,5.722768363
88529,6.153413856
88528,6.153413856
88519,20.9855448
88513,13.9250693
88509,10.1284328
88505,13.67199868
88500,8.585301398
88498,8.837024095
88497,4.292650699
88494,6.153413856
88493,4.544373396
88488,5.722768363
88487,9.267493645
88486,17.53555647
88481,24.18434533
88480,10.30715383
88478,4.974842946
88475,6.292054527
88472,5.97467729
88469,28.80184969
88467,17.1706028
88454,22.57570844
88451,18.170416
88449,14.42087659
88427,5.07059257
88423,9.267493645
88421,6.464550799
88420,3.862594545
88409,15.98984804
88408,10.81083195
88404,5.931812567
88402,5.97467729
88400,48.92622245
88398,31.16142323
88396,11.5588143
88388,6.121545176
88386,4.292650699
88359,5.885770109
88339,4.723016822
88338,5.722768363
88336,11.42853924
88332,4.154158974
88327,5.292153929
88323,5.253716509
88314,5.722768363
88312,9.267390218
88307,17.16830509
88306,10.1407744
88298,42.57175739
88297,4.723016822
88293,20.85219413
88291,6.183727411
88289,9.154748474
