uid,total
4,2
20,6
23,5
28,1
39,1
43,1
53,1
64,1
68,7
69,1
71,1
81,1
83,1
85,1
87,1
89,6
92,10
107,1
115,1
116,1
117,2
121,5
125,1
127,1
139,8
142,3
145,1
148,1
157,1
159,1
163,1
170,2
177,1
179,2
181,4
182,12
186,4
187,1
188,1
191,2
193,2
199,1
201,2
202,4
203,2
208,1
215,6
235,1
239,3
243,1
248,1
258,3
261,1
282,1
283,1
295,3
298,3
315,4
322,1
329,3
334,1
339,10
354,6
358,2
360,1
361,1
364,2
365,1
367,1
385,1
394,1
400,1
404,3
406,2
419,2
426,1
429,1
438,5
439,26
440,1
458,6
460,2
461,1
464,1
469,2
470,1
473,3
474,2
478,1
485,1
488,1
489,6
497,1
503,1
504,4
505,1
506,1
517,1
528,4
530,1
539,1
540,1
543,1
553,1
555,7
558,5
562,2
565,1
568,3
569,1
572,1
575,2
576,2
580,1
581,3
583,6
587,2
591,1
592,1
594,3
596,1
613,15
616,2
618,3
619,3
622,1
623,3
625,1
630,2
636,1
641,5
642,1
646,1
647,1
654,1
660,2
661,2
666,5
671,1
676,2
681,1
691,2
693,3
704,30
706,2
711,1
741,5
744,1
745,6
750,2
754,2
757,1
758,7
759,1
761,1
769,1
774,2
781,1
782,1
786,9
804,5
805,1
813,5
814,4
815,2
818,2
819,1
826,1
832,1
836,5
837,1
841,1
842,5
854,1
855,1
859,1
870,2
873,1
874,1
893,1
894,4
895,2
897,1
900,3
903,1
911,2
912,7
913,1
916,1
918,1
920,1
921,1
930,1
948,2
955,2
957,1
960,1
964,2
974,2
976,2
977,1
978,1
981,2
997,1
1000,14
1005,2
1011,1
1022,3
1023,1
1028,1
1032,2
1036,1
1044,5
1045,12
1046,1
1050,1
1062,7
1071,1
1072,8
1080,3
1098,1
1101,1
1102,1
1107,1
1111,4
1116,2
1119,1
1123,1
1125,1
1131,1
1132,2
1133,1
1139,2
1152,1
1166,1
1175,19
1176,4
1179,1
1190,15
1191,1
1192,3
1193,3
1194,3
1195,7
1205,1
1209,1
1216,2
1217,3
1219,1
1220,1
1229,3
1230,1
1238,2
1239,1
1240,1
1241,9
1244,1
1250,1
1254,2
1258,2
1259,4
1268,5
1270,2
1273,1
1275,1
1276,2
1279,4
1286,4
1306,2
1308,2
1312,1
1314,1
1317,1
1322,1
1324,1
1327,3
1328,2
1332,1
1337,2
1348,2
1350,1
1351,2
1355,3
1357,2
1358,2
1362,1
1369,2
1373,1
1377,3
1379,11
1382,4
1385,1
1387,4
1395,1
1396,2
1401,1
1402,2
1404,4
1409,1
1413,1
