,uid,month,loan_sum,total_loan_amount
72,80359,Nov-16,3.862594545,3.862594545
79,51736,Nov-16,3.862594545,3.862594545
99,41015,Nov-16,3.862594545,3.862594545
116,78674,Nov-16,3.862594545,3.862594545
187,81578,Nov-16,3.862594545,9.154748474
195,89815,Nov-16,3.862594545,3.862594545
241,13466,Nov-16,3.862594545,3.862594545
283,77851,Nov-16,3.862594545,3.862594545
309,578,Nov-16,3.862594545,3.862594545
369,82643,Nov-16,3.862594545,3.862594545
459,62853,Nov-16,3.862594545,3.862594545
526,71348,Nov-16,3.862594545,3.862594545
533,53953,Nov-16,3.862594545,3.862594545
565,74181,Nov-16,3.862594545,3.862594545
628,15887,Nov-16,3.862594545,3.862594545
630,61630,Nov-16,3.862594545,3.862594545
689,7201,Nov-16,3.862594545,3.862594545
701,43658,Nov-16,3.862594545,3.862594545
939,24675,Nov-16,3.862594545,3.862594545
1005,4414,Nov-16,3.862594545,3.862594545
1023,56358,Nov-16,3.862594545,3.862594545
1025,23552,Nov-16,3.862594545,3.862594545
1082,65688,Nov-16,3.862594545,3.862594545
1103,70467,Nov-16,3.862594545,3.862594545
1105,19678,Nov-16,3.862594545,3.862594545
1259,42426,Nov-16,3.862594545,3.862594545
1373,75882,Nov-16,3.862594545,3.862594545
1480,88678,Nov-16,3.862594545,3.862594545
1531,34401,Nov-16,3.862594545,3.862594545
1575,74348,Nov-16,3.862594545,3.862594545
1637,24578,Nov-16,3.862594545,3.862594545
1797,64025,Nov-16,3.862594545,3.862594545
1798,53645,Nov-16,3.862594545,3.862594545
1869,33065,Nov-16,3.862594545,7.72518909
1954,17920,Nov-16,3.862594545,3.862594545
2014,27236,Nov-16,3.862594545,3.862594545
2021,52086,Nov-16,3.862594545,3.862594545
2023,44031,Nov-16,3.862594545,3.862594545
2068,28040,Nov-16,3.862594545,3.862594545
2085,67071,Nov-16,3.862594545,3.862594545
2186,79812,Nov-16,3.862594545,3.862594545
2223,26200,Nov-16,3.862594545,3.862594545
2225,25891,Nov-16,3.862594545,3.862594545
2237,50316,Nov-16,3.862594545,3.862594545
2242,39582,Nov-16,3.862594545,3.862594545
2304,20576,Nov-16,3.862594545,3.862594545
2315,60744,Nov-16,3.862594545,3.862594545
2412,65330,Nov-16,3.862594545,3.862594545
2418,17854,Nov-16,3.862594545,3.862594545
2466,7424,Nov-16,3.862594545,8.155245244
2518,75941,Nov-16,3.862594545,3.862594545
2536,42838,Nov-16,3.862594545,3.862594545
2556,22916,Nov-16,3.862594545,3.862594545
2561,33643,Nov-16,3.862594545,3.862594545
2614,32699,Nov-16,3.862594545,3.862594545
2644,26007,Nov-16,3.862594545,3.862594545
2672,89569,Nov-16,3.862594545,3.862594545
2740,63430,Nov-16,3.862594545,3.862594545
2744,57537,Nov-16,3.862594545,3.862594545
2774,35173,Nov-16,3.862594545,3.862594545
2998,666,Nov-16,3.862594545,3.862594545
3094,88240,Nov-16,3.862594545,3.862594545
3117,74494,Nov-16,3.862594545,3.862594545
3120,34796,Nov-16,3.862594545,3.862594545
3138,34728,Nov-16,3.862594545,3.862594545
3162,76066,Nov-16,3.862594545,3.862594545
3204,64892,Nov-16,3.862594545,3.862594545
3231,79,Nov-16,3.862594545,3.862594545
3242,77321,Nov-16,3.862594545,3.862594545
3274,69029,Nov-16,3.862594545,3.862594545
3298,53300,Nov-16,3.862594545,3.862594545
3331,83586,Nov-16,3.862594545,3.862594545
3342,75594,Nov-16,3.862594545,3.862594545
3372,81143,Nov-16,3.862594545,3.862594545
3400,23799,Nov-16,3.862594545,3.862594545
3430,89395,Nov-16,3.862594545,3.862594545
3521,88420,Nov-16,3.862594545,3.862594545
3529,83740,Nov-16,3.862594545,7.72518909
3533,82866,Nov-16,3.862594545,3.862594545
3572,87049,Nov-16,3.862594545,3.862594545
3597,14543,Nov-16,3.862594545,3.862594545
3670,45182,Nov-16,3.862594545,3.862594545
3690,1259,Nov-16,3.862594545,3.862594545
3695,83293,Nov-16,3.862594545,3.862594545
3702,13152,Nov-16,3.862594545,3.862594545
3734,88018,Nov-16,3.862594545,3.862594545
3746,29393,Nov-16,3.862594545,3.862594545
3749,88920,Nov-16,3.862594545,3.862594545
3776,67910,Nov-16,3.862594545,3.862594545
3785,16441,Nov-16,3.862594545,3.862594545
3801,22376,Nov-16,3.862594545,3.862594545
3805,19311,Nov-16,3.862594545,3.862594545
3830,64046,Nov-16,3.862594545,3.862594545
3890,35162,Nov-16,3.862594545,3.862594545
3918,66935,Nov-16,3.862594545,3.862594545
3937,34307,Nov-16,3.862594545,3.862594545
3999,874,Nov-16,3.862594545,3.862594545
4001,1171,Nov-16,3.862594545,3.862594545
4041,10157,Nov-16,3.862594545,3.862594545
4080,14931,Nov-16,3.862594545,3.862594545
4095,69483,Nov-16,3.862594545,3.862594545
4122,56259,Nov-16,3.862594545,3.862594545
4145,45210,Nov-16,3.862594545,3.862594545
4205,55772,Nov-16,3.862594545,3.862594545
4296,77229,Nov-16,3.862594545,3.862594545
4362,21301,Nov-16,3.862594545,3.862594545
4364,12124,Nov-16,3.862594545,7.72518909
4429,676,Nov-16,3.862594545,3.862594545
4433,49979,Nov-16,3.862594545,3.862594545
4449,79553,Nov-16,3.862594545,3.862594545
4453,57801,Nov-16,3.862594545,3.862594545
4479,55002,Nov-16,3.862594545,3.862594545
4544,23715,Nov-16,3.862594545,3.862594545
4571,21849,Nov-16,3.862594545,3.862594545
4609,63108,Nov-16,3.862594545,3.862594545
4652,69890,Nov-16,3.862594545,3.862594545
4710,5311,Nov-16,3.862594545,3.862594545
4738,4076,Nov-16,3.862594545,3.862594545
4745,7605,Nov-16,3.862594545,3.862594545
4757,60512,Nov-16,3.862594545,3.862594545
4859,44697,Nov-16,3.862594545,3.862594545
4924,66953,Nov-16,3.862594545,3.862594545
4971,39704,Nov-16,3.862594545,3.862594545
4982,82515,Nov-16,3.862594545,3.862594545
4995,37203,Nov-16,3.862594545,3.862594545
5026,85819,Nov-16,3.862594545,3.862594545
5079,17774,Nov-16,3.862594545,3.862594545
5086,73556,Nov-16,3.862594545,3.862594545
5160,68284,Nov-16,3.862594545,3.862594545
5212,25044,Nov-16,3.862594545,9.154748474
5272,66280,Nov-16,3.862594545,3.862594545
5290,10328,Nov-16,3.862594545,3.862594545
5292,26158,Nov-16,3.862594545,3.862594545
5309,86759,Nov-16,3.862594545,7.72518909
5354,2646,Nov-16,3.862594545,3.862594545
5361,63681,Nov-16,3.862594545,3.862594545
5363,3247,Nov-16,3.862594545,3.862594545
5365,23016,Nov-16,3.862594545,3.862594545
5446,42631,Nov-16,3.862594545,3.862594545
5458,38945,Nov-16,3.862594545,3.862594545
5483,90782,Nov-16,3.862594545,3.862594545
5565,2505,Nov-16,3.862594545,3.862594545
5573,49043,Nov-16,3.862594545,3.862594545
5585,51093,Nov-16,3.862594545,3.862594545
5601,66677,Nov-16,3.862594545,3.862594545
5612,81869,Nov-16,3.862594545,3.862594545
5676,53493,Nov-16,3.862594545,3.862594545
5687,82808,Nov-16,3.862594545,3.862594545
5691,77433,Nov-16,3.862594545,3.862594545
5733,59369,Nov-16,3.862594545,3.862594545
5736,89450,Nov-16,3.862594545,3.862594545
5737,67260,Nov-16,3.862594545,3.862594545
5763,87582,Nov-16,3.862594545,3.862594545
5794,40237,Nov-16,3.862594545,3.862594545
5838,70196,Nov-16,3.862594545,3.862594545
5865,15686,Nov-16,3.862594545,3.862594545
5925,75684,Nov-16,3.862594545,3.862594545
5971,41164,Nov-16,3.862594545,3.862594545
5982,32703,Nov-16,3.862594545,3.862594545
