,uid,loan_time,loan_amount,plannum,month
0,12135,2016-08-03 00:05:26,3.862594545,1,08
1,41403,2016-08-03 00:13:25,5.584137010499999,3,08
2,74458,2016-08-03 00:13:58,4.7230168221,1,08
3,12959,2016-08-03 00:19:33,3.862594545,1,08
4,89641,2016-08-03 00:23:13,4.2926506987,1,08
5,3272,2016-08-03 00:24:32,3.862594545,1,08
6,90639,2016-08-03 00:36:19,4.5443733959,1,08
7,66044,2016-08-03 00:50:20,4.6220929276,1,08
8,89641,2016-08-03 01:55:12,4.2926506987,1,08
9,41227,2016-08-03 02:26:52,5.0705925702,3,08
10,67319,2016-08-03 03:05:00,3.862594545,1,08
11,76603,2016-08-03 03:12:57,4.7230168221,1,08
12,76603,2016-08-03 03:13:24,4.2926506987,1,08
13,76603,2016-08-03 03:13:42,4.4058299903,1,08
14,86428,2016-08-03 04:04:47,4.9748429458,3,08
15,84537,2016-08-03 04:12:03,3.862594545,1,08
16,42635,2016-08-03 04:13:41,4.2926506987,1,08
17,32940,2016-08-03 04:45:15,4.2926506987,12,08
18,61669,2016-08-03 05:06:43,4.5443733959,3,08
19,53574,2016-08-03 05:47:37,5.1535381047,1,08
20,16120,2016-08-03 05:59:25,4.584447561499999,1,08
21,72803,2016-08-03 06:18:01,4.2926506987,1,08
22,42528,2016-08-03 06:27:10,5.7227683627,1,08
23,80684,2016-08-03 07:06:09,4.2926506987,1,08
24,57009,2016-08-03 07:08:49,5.0705925702,1,08
25,67212,2016-08-03 07:13:15,4.909401781000001,12,08
26,69653,2016-08-03 07:25:15,5.7227683627,12,08
27,13939,2016-08-03 07:25:47,6.7227186589,12,08
28,48003,2016-08-03 07:36:06,6.1534138563,12,08
29,21173,2016-08-03 07:36:34,4.9748429458,12,08
30,49800,2016-08-03 07:54:45,5.7227683627,12,08
31,51928,2016-08-03 08:01:15,5.2921539288,1,08
32,73058,2016-08-03 08:02:59,3.862594545,1,08
33,13690,2016-08-03 08:05:44,5.5011803851,3,08
34,68827,2016-08-03 08:07:18,5.584137010499999,3,08
35,62709,2016-08-03 08:08:52,4.2926506987,1,08
36,81007,2016-08-03 08:14:08,4.2926506987,1,08
37,41215,2016-08-03 08:20:06,4.2926506987,1,08
38,20654,2016-08-03 08:21:39,3.862594545,1,08
39,49749,2016-08-03 08:23:52,5.7227683627,12,08
40,61766,2016-08-03 08:35:29,4.5015352816,1,08
41,41388,2016-08-03 08:35:59,4.3518138119,6,08
42,76783,2016-08-03 08:41:32,4.9748429458,1,08
43,5877,2016-08-03 08:46:39,6.1215451756,12,08
44,41256,2016-08-03 08:51:22,5.5186814699,12,08
45,71174,2016-08-03 08:56:10,5.7227683627,12,08
46,60525,2016-08-03 08:59:39,4.9748429458,1,08
47,38819,2016-08-03 09:01:36,4.5015352816,1,08
48,8980,2016-08-03 09:03:39,5.931812566900001,1,08
49,53655,2016-08-03 09:03:56,3.862594545,1,08
50,67638,2016-08-03 09:04:45,5.931812566900001,1,08
51,68917,2016-08-03 09:09:52,4.2926506987,1,08
52,29911,2016-08-03 09:13:10,4.2926506987,1,08
53,13177,2016-08-03 09:19:27,4.5443733959,1,08
54,3208,2016-08-03 09:22:35,5.405415973999999,12,08
55,8854,2016-08-03 09:21:45,3.862594545,1,08
56,21920,2016-08-03 09:22:49,5.2921539288,6,08
57,69684,2016-08-03 09:23:04,4.8616016004,3,08
58,68645,2016-08-03 09:25:06,4.909401781000001,1,08
59,83545,2016-08-03 09:24:18,5.2921539288,1,08
60,35043,2016-08-03 09:25:14,5.2921539288,12,08
61,61071,2016-08-03 09:26:07,5.2921539288,1,08
62,61071,2016-08-03 09:26:55,5.2921539288,1,08
63,46206,2016-08-03 09:27:47,5.5011803851,3,08
64,19777,2016-08-03 09:28:41,3.862594545,1,08
65,3760,2016-08-03 09:32:30,3.862594545,1,08
66,42180,2016-08-03 09:32:41,4.8616016004,3,08
67,30819,2016-08-03 09:33:04,5.974677289700001,1,08
68,517,2016-08-03 09:33:32,4.2926506987,6,08
69,3988,2016-08-03 09:33:42,3.862594545,12,08
70,24445,2016-08-03 09:33:18,3.862594545,1,08
71,9140,2016-08-03 09:35:34,4.9748429458,1,08
72,20664,2016-08-03 09:35:36,4.4058299903,1,08
73,18278,2016-08-03 09:38:27,5.1216759623,12,08
74,27096,2016-08-03 09:38:37,3.862594545,1,08
75,49867,2016-08-03 09:38:37,4.7230168221,12,08
76,21042,2016-08-03 09:43:40,4.7230168221,1,08
77,75786,2016-08-03 09:45:22,4.7230168221,1,08
78,77418,2016-08-03 09:45:20,4.2926506987,12,08
79,3256,2016-08-03 09:45:25,4.9748429458,12,08
80,47710,2016-08-03 09:46:43,5.781982259099999,1,08
81,84929,2016-08-03 09:48:41,5.1535381047,6,08
82,64003,2016-08-03 09:51:57,4.7230168221,1,08
83,58227,2016-08-03 09:51:48,4.9748429458,3,08
84,50243,2016-08-03 09:55:37,3.862594545,1,08
85,61387,2016-08-03 09:57:40,5.974677289700001,1,08
86,23442,2016-08-03 09:59:25,5.7227683627,1,08
87,74548,2016-08-03 10:02:11,5.2267035642,1,08
88,55050,2016-08-03 10:03:21,5.2921539288,1,08
89,39777,2016-08-03 10:03:32,4.2926506987,1,08
90,895,2016-08-03 10:07:19,5.2921539288,1,08
91,22599,2016-08-03 10:10:44,4.2926506987,1,08
92,90116,2016-08-03 10:13:16,5.781982259099999,1,08
93,88635,2016-08-03 10:13:32,5.7227683627,12,08
94,35248,2016-08-03 10:13:37,4.9748429458,1,08
95,59201,2016-08-03 10:13:42,6.1534138563,6,08
96,28647,2016-08-03 10:15:23,6.584074881599999,3,08
97,79457,2016-08-03 10:17:42,5.405415973999999,1,08
98,18222,2016-08-03 10:18:12,3.862594545,1,08
99,86493,2016-08-03 10:20:05,6.4053331376,3,08
100,24873,2016-08-03 10:22:13,5.974677289700001,1,08
101,29190,2016-08-03 10:21:51,4.9748429458,1,08
102,5140,2016-08-03 10:24:41,4.9748429458,1,08
103,21824,2016-08-03 10:25:45,5.974677289700001,12,08
104,14256,2016-08-03 10:29:18,4.2926506987,6,08
105,76155,2016-08-03 10:30:24,4.7533170691,1,08
106,13632,2016-08-03 10:31:11,5.2921539288,6,08
107,61530,2016-08-03 10:31:40,5.781982259099999,1,08
108,34334,2016-08-03 10:32:20,4.9748429458,1,08
109,41662,2016-08-03 10:33:54,4.2926506987,3,08
110,42369,2016-08-03 10:32:37,5.7227683627,12,08
111,3412,2016-08-03 10:33:25,3.862594545,12,08
112,14256,2016-08-03 10:39:14,4.2926506987,6,08
113,85596,2016-08-03 10:43:34,4.7230168221,1,08
114,63672,2016-08-03 10:44:26,6.4053331376,12,08
115,11529,2016-08-03 10:44:35,5.7227683627,12,08
116,72887,2016-08-03 10:46:08,6.1534138563,1,08
117,57817,2016-08-03 10:50:11,5.2267035642,1,08
118,27369,2016-08-03 10:54:37,4.9748429458,12,08
119,22522,2016-08-03 10:55:39,4.2926506987,1,08
120,13727,2016-08-03 10:59:07,4.7533170691,1,08
121,80296,2016-08-03 11:02:26,3.862594545,1,08
122,51818,2016-08-03 11:04:56,6.1534138563,12,08
123,59488,2016-08-03 11:07:52,4.2926506987,3,08
124,65833,2016-08-03 11:13:06,3.9756705649,1,08
125,34292,2016-08-03 11:12:55,3.9756705649,1,08
126,90782,2016-08-03 11:18:19,3.862594545,1,08
127,48725,2016-08-03 11:21:43,4.7230168221,3,08
128,48387,2016-08-03 11:29:10,6.4053331376,12,08
129,43756,2016-08-03 11:29:57,5.8360407605999995,12,08
130,17609,2016-08-03 11:31:17,4.2926506987,1,08
131,11520,2016-08-03 11:44:13,5.3165183495,1,08
132,47236,2016-08-03 11:46:36,5.1535381047,1,08
133,39392,2016-08-03 11:50:03,5.2921539288,12,08
134,55030,2016-08-03 12:00:24,5.2921539288,1,08
135,13704,2016-08-03 12:03:31,6.0879531389,3,08
136,38617,2016-08-03 12:10:48,4.0713020592,1,08
137,62427,2016-08-03 12:12:52,4.9748429458,3,08
138,43045,2016-08-03 12:12:53,3.862594545,3,08
139,39881,2016-08-03 12:12:16,3.862594545,1,08
140,8141,2016-08-03 12:16:19,5.584137010499999,12,08
141,85738,2016-08-03 12:15:24,3.862594545,3,08
142,65879,2016-08-03 12:15:37,4.0713020592,3,08
143,39827,2016-08-03 12:16:56,3.862594545,1,08
144,17507,2016-08-03 12:29:32,3.862594545,1,08
145,74045,2016-08-03 12:31:38,3.862594545,1,08
146,55852,2016-08-03 12:36:08,5.0705925702,3,08
147,54664,2016-08-03 12:36:02,4.2926506987,1,08
148,10798,2016-08-03 12:36:29,5.7227683627,12,08
149,2735,2016-08-03 12:40:47,4.2926506987,6,08
150,73435,2016-08-03 12:41:09,4.3518138119,1,08
151,64638,2016-08-03 12:41:25,4.7230168221,12,08
152,75100,2016-08-03 12:43:21,4.7230168221,3,08
153,28820,2016-08-03 12:44:21,4.2926506987,1,08
154,45589,2016-08-03 12:49:21,4.909401781000001,6,08
155,9782,2016-08-03 12:49:51,3.862594545,1,08
156,84797,2016-08-03 12:52:35,5.2921539288,12,08
157,57300,2016-08-03 12:53:55,4.2926506987,1,08
158,89881,2016-08-03 12:56:12,5.2921539288,12,08
159,69571,2016-08-03 12:59:54,5.2921539288,1,08
160,16274,2016-08-03 12:59:08,4.2926506987,12,08
161,30243,2016-08-03 13:00:44,5.2921539288,1,08
162,2814,2016-08-03 13:04:56,5.405415973999999,1,08
163,46583,2016-08-03 13:06:32,5.6573110966,6,08
164,18556,2016-08-03 13:06:06,3.862594545,3,08
165,65879,2016-08-03 13:11:30,4.154158974,1,08
166,59837,2016-08-03 13:16:02,4.5443733959,1,08
167,2319,2016-08-03 13:17:41,4.9748429458,12,08
168,88359,2016-08-03 13:19:32,5.8857701085,3,08
169,26316,2016-08-03 13:24:08,4.2926506987,1,08
170,21220,2016-08-03 13:30:17,5.2267035642,1,08
171,56042,2016-08-03 13:34:54,4.2926506987,1,08
172,90481,2016-08-03 13:37:52,6.2920545271,1,08
173,27834,2016-08-03 13:38:07,4.2926506987,1,08
174,7202,2016-08-03 13:43:49,5.405415973999999,1,08
175,81989,2016-08-03 13:46:00,3.862594545,1,08
176,71152,2016-08-03 13:49:02,4.7230168221,6,08
177,87636,2016-08-03 13:54:42,4.7230168221,1,08
178,26784,2016-08-03 13:55:08,4.2926506987,3,08
179,41256,2016-08-03 14:00:03,3.862594545,1,08
180,6147,2016-08-03 14:03:45,4.9748429458,1,08
181,23598,2016-08-03 14:07:39,6.4053331376,1,08
182,30745,2016-08-03 14:08:20,4.9748429458,1,08
183,71186,2016-08-03 14:09:02,3.862594545,1,08
184,33971,2016-08-03 14:13:05,4.4058299903,1,08
185,30724,2016-08-03 14:23:16,5.5011803851,1,08
186,61841,2016-08-03 14:25:41,5.1838457431,12,08
187,75613,2016-08-03 14:27:12,3.862594545,1,08
188,22462,2016-08-03 14:28:45,5.3165183495,6,08
189,19722,2016-08-03 14:30:39,5.7227683627,1,08
190,70389,2016-08-03 14:36:48,6.4053331376,1,08
191,52172,2016-08-03 14:36:26,5.7227683627,1,08
192,33148,2016-08-03 14:41:12,3.862594545,1,08
193,39414,2016-08-03 14:45:38,4.2926506987,1,08
194,58430,2016-08-03 14:50:24,6.1534138563,1,08
195,66247,2016-08-03 14:52:25,4.7230168221,3,08
196,12018,2016-08-03 14:58:43,4.2926506987,12,08
197,49093,2016-08-03 15:02:54,3.862594545,1,08
198,6690,2016-08-03 15:06:43,3.862594545,1,08
199,16423,2016-08-03 15:08:18,6.1534138563,12,08
200,16423,2016-08-03 15:09:38,6.1534138563,12,08
201,18222,2016-08-03 15:12:49,4.154158974,1,08
202,76617,2016-08-03 15:20:32,3.862594545,1,08
203,17326,2016-08-03 15:20:49,4.2926506987,1,08
204,88481,2016-08-03 15:21:20,4.7230168221,1,08
205,69478,2016-08-03 15:25:34,4.2926506987,1,08
206,41436,2016-08-03 15:41:00,6.1534138563,12,08
207,16135,2016-08-03 15:42:35,6.4053331376,6,08
208,62317,2016-08-03 15:42:43,3.862594545,1,08
209,6225,2016-08-03 15:46:59,5.1535381047,6,08
210,64804,2016-08-03 15:50:48,5.2921539288,12,08
211,17144,2016-08-03 15:51:22,3.862594545,1,08
212,10537,2016-08-03 15:53:52,3.862594545,12,08
213,73026,2016-08-03 15:53:59,4.154158974,1,08
214,70593,2016-08-03 15:54:57,4.7230168221,6,08
215,65647,2016-08-03 15:58:10,4.154158974,1,08
216,74147,2016-08-03 15:59:20,5.3735511076,12,08
217,62064,2016-08-03 16:01:03,4.8098152965,6,08
218,84772,2016-08-03 16:06:33,5.2921539288,12,08
219,1629,2016-08-03 16:12:30,5.1535381047,12,08
220,89902,2016-08-03 16:13:42,4.8616016004,12,08
221,85374,2016-08-03 16:19:22,5.8360407605999995,6,08
222,69124,2016-08-03 16:24:39,4.4058299903,1,08
223,46918,2016-08-03 16:25:25,3.862594545,3,08
224,29473,2016-08-03 16:28:32,3.862594545,6,08
225,26433,2016-08-03 16:31:29,4.2926506987,3,08
226,68385,2016-08-03 16:45:04,5.2921539288,1,08
227,84519,2016-08-03 16:46:09,5.6573110966,12,08
228,62781,2016-08-03 16:46:14,6.584074881599999,1,08
229,641,2016-08-03 16:46:55,5.2921539288,1,08
230,40869,2016-08-03 16:47:43,4.7230168221,3,08
231,55582,2016-08-03 16:50:58,3.862594545,1,08
232,43855,2016-08-03 16:51:48,5.2921539288,1,08
233,20953,2016-08-03 16:54:45,3.862594545,1,08
234,22905,2016-08-03 16:58:13,5.2921539288,1,08
235,43855,2016-08-03 17:04:03,5.2921539288,1,08
236,17222,2016-08-03 17:10:49,5.6909013168,1,08
237,4737,2016-08-03 17:15:58,3.9756705649,1,08
238,1787,2016-08-03 17:18:42,4.0713020592,12,08
239,68329,2016-08-03 17:18:40,3.862594545,3,08
240,82309,2016-08-03 17:21:28,3.862594545,3,08
241,6647,2016-08-03 17:22:57,4.9748429458,1,08
242,14939,2016-08-03 17:25:30,5.2921539288,12,08
243,27667,2016-08-03 17:27:53,5.137811248,6,08
244,24005,2016-08-03 17:30:44,3.862594545,1,08
245,43348,2016-08-03 17:31:13,4.8098152965,1,08
246,72018,2016-08-03 17:38:15,4.227255494,6,08
247,63254,2016-08-03 17:43:10,4.2926506987,1,08
248,60792,2016-08-03 17:48:12,4.6575871534,12,08
249,38062,2016-08-03 17:57:39,4.7230168221,12,08
250,89448,2016-08-03 17:59:37,4.9748429458,6,08
251,29505,2016-08-03 18:06:48,3.862594545,1,08
252,23034,2016-08-03 18:12:43,3.862594545,6,08
253,22165,2016-08-03 18:18:01,4.2926506987,1,08
254,81669,2016-08-03 18:25:05,5.2921539288,1,08
255,13977,2016-08-03 18:38:10,4.4555235235,1,08
256,46329,2016-08-03 18:38:50,3.9756705649,3,08
257,74633,2016-08-03 18:43:18,5.3513621783,1,08
258,74633,2016-08-03 18:44:07,5.2921539288,1,08
259,81669,2016-08-03 18:46:35,5.2921539288,1,08
260,68199,2016-08-03 18:48:35,3.862594545,1,08
261,22348,2016-08-03 18:53:29,5.0705925702,3,08
262,62064,2016-08-03 18:54:19,4.5443733959,6,08
263,32736,2016-08-03 18:56:04,5.7227683627,12,08
264,31759,2016-08-03 18:59:17,5.931812566900001,12,08
265,17075,2016-08-03 18:59:41,4.7230168221,1,08
266,13852,2016-08-03 19:02:38,4.2926506987,1,08
267,17362,2016-08-03 19:05:43,5.7227683627,1,08
268,29283,2016-08-03 19:07:27,4.0713020592,1,08
269,39793,2016-08-03 19:17:32,5.931812566900001,1,08
270,34126,2016-08-03 19:19:31,3.862594545,6,08
271,46519,2016-08-03 19:20:05,5.2921539288,1,08
272,17846,2016-08-03 19:21:48,5.7102169828,1,08
273,19764,2016-08-03 19:43:09,5.584137010499999,1,08
274,74913,2016-08-03 19:46:44,4.2926506987,1,08
275,80247,2016-08-03 19:47:28,5.2921539288,12,08
276,2898,2016-08-03 19:49:28,4.9748429458,3,08
277,48197,2016-08-03 19:51:08,4.9748429458,12,08
278,2898,2016-08-03 19:54:30,5.1535381047,6,08
279,30509,2016-08-03 19:55:39,4.2926506987,3,08
280,80905,2016-08-03 19:58:26,4.8616016004,1,08
281,20998,2016-08-03 19:58:30,5.781982259099999,12,08
282,16404,2016-08-03 20:15:56,4.2926506987,1,08
283,34549,2016-08-03 20:16:00,3.862594545,1,08
284,70239,2016-08-03 20:28:09,3.862594545,1,08
285,20115,2016-08-03 20:29:34,5.2921539288,1,08
286,32534,2016-08-03 20:29:55,5.2921539288,1,08
287,20858,2016-08-03 20:30:41,4.7230168221,1,08
288,57379,2016-08-03 20:35:31,4.2926506987,3,08
289,29787,2016-08-03 20:36:55,5.405415973999999,1,08
290,69317,2016-08-03 20:46:20,5.2921539288,6,08
291,24680,2016-08-03 20:59:12,5.8360407605999995,1,08
292,70640,2016-08-03 21:00:39,5.2921539288,12,08
293,75645,2016-08-03 21:02:31,3.9756705649,1,08
294,38222,2016-08-03 21:06:04,4.7230168221,12,08
295,8441,2016-08-03 21:12:53,4.2926506987,1,08
296,39998,2016-08-03 21:17:36,5.2667949742,1,08
297,8441,2016-08-03 21:20:33,4.2926506987,1,08
298,81804,2016-08-03 21:21:14,5.5440421498,1,08
299,21337,2016-08-03 21:35:16,5.1535381047,1,08
300,62272,2016-08-03 21:36:41,3.862594545,1,08
301,81804,2016-08-03 21:46:29,5.5440421498,1,08
302,41171,2016-08-03 21:51:01,3.862594545,12,08
303,28931,2016-08-03 21:51:55,5.2921539288,12,08
304,4114,2016-08-03 21:52:45,4.2926506987,3,08
305,79570,2016-08-03 21:59:05,4.2926506987,1,08
306,36341,2016-08-03 21:59:34,3.862594545,1,08
307,25921,2016-08-03 22:16:12,4.2926506987,12,08
308,13496,2016-08-03 22:26:44,4.2926506987,12,08
309,45566,2016-08-03 22:38:06,4.2926506987,3,08
310,18719,2016-08-03 22:46:47,3.862594545,12,08
311,42008,2016-08-03 22:49:54,3.862594545,1,08
312,17226,2016-08-03 22:51:54,4.5443733959,1,08
313,62345,2016-08-03 23:14:23,4.9748429458,12,08
314,73961,2016-08-03 23:26:52,5.7227683627,12,08
315,35870,2016-08-04 00:11:12,6.584074881599999,12,08
316,33205,2016-08-04 00:19:11,4.7230168221,1,08
317,29384,2016-08-04 00:20:52,4.9537858668,1,08
318,60357,2016-08-04 00:24:40,4.9748429458,1,08
319,25271,2016-08-04 00:55:39,3.862594545,1,08
320,78090,2016-08-04 02:53:20,3.862594545,12,08
321,76144,2016-08-04 03:25:30,5.3625556883,1,08
322,76144,2016-08-04 03:31:57,4.9748429458,1,08
323,45823,2016-08-04 03:55:08,4.9748429458,1,08
324,58773,2016-08-04 05:19:40,5.1535381047,12,08
325,6539,2016-08-04 05:30:13,5.2921539288,1,08
326,79051,2016-08-04 06:33:07,3.862594545,1,08
327,65636,2016-08-04 06:44:09,4.7230168221,12,08
328,13063,2016-08-04 06:55:26,4.9748429458,1,08
329,73004,2016-08-04 07:12:04,4.7230168221,6,08
330,77634,2016-08-04 07:16:06,6.1837274104999995,6,08
331,19453,2016-08-04 07:28:24,4.2926506987,12,08
332,2417,2016-08-04 07:41:43,3.862594545,1,08
333,58602,2016-08-04 07:43:01,4.0713020592,1,08
