,uid,loan_time,loan_amount,plannum,month
25717,25719,2016-11-01 00:10:23,4.7230168221,1,11
25718,73580,2016-11-01 00:24:39,5.7227683627,1,11
25719,60357,2016-11-01 00:39:14,3.9756705649,1,11
25720,10097,2016-11-01 00:42:21,5.2921539288,12,11
25721,22923,2016-11-01 01:39:27,5.568408163099999,12,11
25722,14022,2016-11-01 01:57:52,4.2926506987,1,11
25723,20991,2016-11-01 02:43:30,4.3518138119,12,11
25724,22923,2016-11-01 04:18:53,5.405415973999999,12,11
25725,89435,2016-11-01 05:21:52,5.2921539288,12,11
25726,38453,2016-11-01 06:22:52,5.394974879099999,1,11
25727,72956,2016-11-01 07:16:57,4.2926506987,3,11
25728,72956,2016-11-01 07:20:00,4.2926506987,3,11
25729,63427,2016-11-01 07:20:24,3.862594545,1,11
25730,24212,2016-11-01 07:20:42,5.1535381047,12,11
25731,3203,2016-11-01 08:05:30,4.8098152965,1,11
25732,57685,2016-11-01 08:22:32,5.2921539288,12,11
25733,84863,2016-11-01 08:23:45,3.862594545,3,11
25734,12863,2016-11-01 08:30:45,5.405415973999999,1,11
25735,12460,2016-11-01 08:35:30,5.7227683627,1,11
25736,17507,2016-11-01 08:42:03,4.7230168221,6,11
25737,74300,2016-11-01 08:45:24,4.2926506987,1,11
25738,70964,2016-11-01 08:52:43,3.862594545,1,11
25739,80273,2016-11-01 08:54:24,4.2926506987,12,11
25740,84926,2016-11-01 08:54:59,4.7230168221,3,11
25741,36757,2016-11-01 08:55:28,4.7230168221,1,11
25742,36316,2016-11-01 09:06:23,4.2926506987,12,11
25743,82115,2016-11-01 09:16:13,5.7227683627,3,11
25744,82115,2016-11-01 09:16:45,5.5440421498,3,11
25745,72639,2016-11-01 09:21:14,4.2926506987,6,11
25746,12410,2016-11-01 09:21:27,4.4058299903,6,11
25747,28522,2016-11-01 09:22:34,4.5443733959,6,11
25748,38166,2016-11-01 09:34:34,4.2926506987,6,11
25749,87051,2016-11-01 09:35:30,5.0705925702,1,11
25750,31180,2016-11-01 09:39:35,5.2921539288,1,11
25751,70107,2016-11-01 09:39:54,4.9748429458,1,11
25752,52121,2016-11-01 09:42:42,4.2926506987,1,11
25753,49820,2016-11-01 09:44:17,4.8362478205,1,11
25754,40701,2016-11-01 09:49:13,4.9748429458,12,11
25755,57934,2016-11-01 09:52:25,5.2921539288,1,11
25756,90000,2016-11-01 09:52:20,6.0147747387,1,11
25757,59837,2016-11-01 10:04:32,4.7230168221,6,11
25758,53667,2016-11-01 10:09:52,4.154158974,3,11
25759,55196,2016-11-01 10:12:17,4.8616016004,1,11
25760,2774,2016-11-01 10:23:15,4.3518138119,3,11
25761,39110,2016-11-01 10:34:09,5.1535381047,1,11
25762,4677,2016-11-01 10:38:08,4.2926506987,1,11
25763,25432,2016-11-01 10:38:41,5.2921539288,1,11
25764,19158,2016-11-01 10:47:41,6.1534138563,12,11
25765,86610,2016-11-01 10:58:08,5.2921539288,12,11
25766,18350,2016-11-01 11:01:04,5.473968259299999,6,11
25767,75173,2016-11-01 11:03:37,4.9748429458,12,11
25768,19966,2016-11-01 11:07:41,6.0147747387,3,11
25769,75173,2016-11-01 11:11:28,4.8616016004,12,11
25770,62797,2016-11-01 11:17:45,4.7533170691,1,11
25771,25127,2016-11-01 11:17:31,4.7230168221,6,11
25772,59336,2016-11-01 11:25:48,5.1535381047,1,11
25773,12817,2016-11-01 11:25:58,6.4053331376,1,11
25774,40596,2016-11-01 11:28:09,5.7227683627,12,11
25775,49049,2016-11-01 11:29:29,4.2926506987,6,11
25776,47026,2016-11-01 11:37:01,4.2926506987,6,11
25777,17924,2016-11-01 11:40:16,4.154158974,1,11
25778,76568,2016-11-01 11:55:15,4.5443733959,12,11
25779,18185,2016-11-01 11:59:21,4.2926506987,1,11
25780,71464,2016-11-01 12:05:33,4.8098152965,1,11
25781,47132,2016-11-01 12:06:26,5.2921539288,12,11
25782,77987,2016-11-01 12:14:32,3.862594545,6,11
25783,68917,2016-11-01 12:38:54,4.8616016004,1,11
25784,68917,2016-11-01 12:42:04,4.2926506987,1,11
25785,68917,2016-11-01 12:58:06,4.7230168221,1,11
25786,58388,2016-11-01 12:58:10,4.7230168221,6,11
25787,25356,2016-11-01 13:00:08,4.2926506987,1,11
25788,25142,2016-11-01 13:05:33,5.1535381047,6,11
25789,74090,2016-11-01 13:12:01,5.405415973999999,12,11
25790,13759,2016-11-01 13:31:19,3.862594545,1,11
25791,68778,2016-11-01 13:44:33,5.6573110966,12,11
25792,71046,2016-11-01 14:34:08,3.862594545,12,11
25793,22981,2016-11-01 14:48:24,4.9748429458,6,11
25794,32382,2016-11-01 14:51:30,4.7230168221,12,11
25795,1022,2016-11-01 14:56:42,4.5443733959,6,11
25796,44366,2016-11-01 15:14:34,6.1534138563,12,11
25797,41537,2016-11-01 15:41:13,4.9952097294,1,11
25798,55079,2016-11-01 15:45:59,4.2926506987,3,11
25799,16423,2016-11-01 15:47:14,6.2920545271,12,11
25800,25726,2016-11-01 15:49:08,4.5443733959,1,11
25801,36545,2016-11-01 15:49:07,4.7230168221,12,11
25802,36545,2016-11-01 15:50:03,4.7230168221,12,11
25803,38983,2016-11-01 15:54:09,5.7227683627,12,11
25804,12762,2016-11-01 16:06:55,4.2926506987,6,11
25805,57665,2016-11-01 16:37:11,5.8857701085,12,11
25806,61720,2016-11-01 16:54:24,4.5443733959,12,11
25807,61550,2016-11-01 17:02:03,5.405415973999999,6,11
25808,36935,2016-11-01 17:06:33,3.862594545,1,11
25809,43837,2016-11-01 17:28:06,4.2926506987,1,11
25810,73451,2016-11-01 17:31:00,5.7227683627,12,11
25811,72470,2016-11-01 17:31:14,4.2926506987,6,11
25812,13325,2016-11-01 17:40:51,3.862594545,1,11
25813,27192,2016-11-01 17:51:26,4.2926506987,1,11
25814,89887,2016-11-01 18:51:20,4.7822081374000005,3,11
25815,43761,2016-11-01 18:56:03,4.6220929276,12,11
25816,26733,2016-11-01 19:02:27,4.9748429458,6,11
25817,65960,2016-11-01 19:07:25,3.862594545,1,11
25818,25867,2016-11-01 19:16:18,5.7227683627,1,11
25819,14577,2016-11-01 19:17:07,4.2926506987,1,11
25820,29644,2016-11-01 19:19:13,4.2926506987,1,11
25821,30020,2016-11-01 19:26:55,6.7819370735,3,11
25822,36981,2016-11-01 19:27:35,4.2926506987,6,11
25823,66847,2016-11-01 19:39:44,6.1534138563,1,11
25824,36823,2016-11-01 20:07:11,3.862594545,6,11
25825,68095,2016-11-01 20:07:50,3.862594545,12,11
25826,31066,2016-11-01 20:34:34,4.7230168221,1,11
25827,50108,2016-11-01 20:51:54,5.7227683627,12,11
25828,77166,2016-11-01 21:08:15,3.862594545,12,11
25829,87964,2016-11-01 21:11:49,4.7230168221,1,11
25830,87596,2016-11-01 21:18:33,4.6911628488999995,1,11
25831,86613,2016-11-01 21:21:02,5.1535381047,1,11
25832,90833,2016-11-01 21:35:18,4.5015352816,1,11
25833,6225,2016-11-01 22:01:49,4.2926506987,6,11
25834,89756,2016-11-01 22:02:02,4.5443733959,12,11
25835,109,2016-11-01 22:07:43,5.5011803851,1,11
25836,10673,2016-11-01 22:19:37,3.862594545,1,11
25837,69768,2016-11-01 22:32:54,5.7227683627,6,11
25838,87023,2016-11-01 22:35:50,4.7230168221,3,11
25839,87023,2016-11-01 22:37:36,5.5011803851,6,11
25840,88030,2016-11-01 22:57:53,5.405415973999999,12,11
25841,59619,2016-11-01 23:11:35,3.862594545,1,11
25842,17924,2016-11-01 23:13:52,4.0713020592,1,11
25843,83499,2016-11-01 23:19:09,4.9748429458,6,11
25844,66509,2016-11-02 00:03:27,3.862594545,1,11
25845,31963,2016-11-02 00:13:05,4.7230168221,1,11
25846,9856,2016-11-02 00:13:23,4.2926506987,12,11
25847,9856,2016-11-02 00:22:32,4.2926506987,6,11
25848,20205,2016-11-02 00:44:54,5.7227683627,1,11
25849,82519,2016-11-02 01:23:38,4.7230168221,6,11
25850,21617,2016-11-02 02:37:35,5.974677289700001,12,11
25851,59645,2016-11-02 02:50:59,5.7227683627,1,11
25852,79770,2016-11-02 03:19:30,4.5443733959,12,11
25853,89538,2016-11-02 04:53:15,4.2926506987,1,11
25854,54975,2016-11-02 07:00:45,4.7230168221,1,11
25855,7733,2016-11-02 07:12:29,4.8616016004,6,11
25856,17241,2016-11-02 07:31:29,3.9756705649,1,11
25857,73715,2016-11-02 08:01:11,4.8859612444,1,11
25858,66927,2016-11-02 08:02:52,6.1215451756,6,11
25859,20963,2016-11-02 08:12:47,3.862594545,1,11
25860,74058,2016-11-02 08:19:58,3.862594545,1,11
25861,52304,2016-11-02 08:19:49,5.2921539288,1,11
25862,26632,2016-11-02 08:21:30,5.2921539288,1,11
25863,81142,2016-11-02 08:25:56,6.2920545271,1,11
25864,49441,2016-11-02 08:29:24,4.7230168221,12,11
25865,69152,2016-11-02 08:38:54,5.7227683627,1,11
25866,6657,2016-11-02 08:46:25,4.9319900531,6,11
25867,48229,2016-11-02 08:49:37,4.7230168221,3,11
25868,4554,2016-11-02 09:04:14,4.584447561499999,3,11
25869,17014,2016-11-02 09:14:54,5.584137010499999,12,11
25870,74141,2016-11-02 09:23:09,4.2926506987,12,11
25871,19319,2016-11-02 09:25:50,6.1534138563,12,11
25872,52121,2016-11-02 09:30:49,4.2926506987,1,11
25873,62075,2016-11-02 09:35:40,4.4058299903,1,11
25874,11894,2016-11-02 09:36:37,5.0705925702,1,11
25875,48831,2016-11-02 09:45:12,4.7230168221,12,11
25876,22996,2016-11-02 09:45:20,4.3518138119,12,11
25877,16700,2016-11-02 09:45:43,5.6573110966,6,11
25878,22996,2016-11-02 09:50:29,3.862594545,12,11
25879,6291,2016-11-02 09:51:44,5.1535381047,6,11
25880,48831,2016-11-02 09:52:01,4.2926506987,6,11
25881,65220,2016-11-02 10:00:02,5.7227683627,12,11
25882,83788,2016-11-02 10:14:29,5.3843553259000005,1,11
25883,30688,2016-11-02 10:20:46,4.5443733959,1,11
25884,37053,2016-11-02 10:22:18,5.405415973999999,6,11
25885,50624,2016-11-02 10:26:12,5.1535381047,6,11
25886,18422,2016-11-02 10:27:48,5.1535381047,1,11
25887,79640,2016-11-02 10:33:59,4.6220929276,1,11
25888,29647,2016-11-02 10:52:12,4.7230168221,1,11
25889,65700,2016-11-02 10:52:35,5.2921539288,1,11
25890,62194,2016-11-02 10:56:13,4.4555235235,1,11
25891,52165,2016-11-02 10:59:10,3.862594545,1,11
25892,74608,2016-11-02 10:59:52,4.2926506987,3,11
25893,80137,2016-11-02 11:03:18,4.2926506987,6,11
25894,18938,2016-11-02 11:06:53,6.316422770499999,12,11
25895,22544,2016-11-02 11:07:33,5.0705925702,1,11
25896,38688,2016-11-02 11:13:08,4.7230168221,1,11
25897,2615,2016-11-02 11:15:08,5.2921539288,6,11
25898,22242,2016-11-02 11:16:41,4.7230168221,6,11
25899,42750,2016-11-02 11:28:50,4.9748429458,12,11
25900,15906,2016-11-02 11:33:11,4.2926506987,1,11
25901,70056,2016-11-02 11:48:14,4.9748429458,1,11
25902,55909,2016-11-02 11:48:12,4.7230168221,6,11
25903,29780,2016-11-02 11:51:23,4.5443733959,1,11
25904,12764,2016-11-02 11:52:52,4.2926506987,6,11
25905,85897,2016-11-02 11:58:42,4.2926506987,1,11
25906,15062,2016-11-02 12:03:06,4.6575871534,1,11
25907,52900,2016-11-02 12:04:11,3.862594545,3,11
25908,51901,2016-11-02 12:14:22,4.2926506987,12,11
25909,84064,2016-11-02 12:30:13,3.862594545,3,11
25910,81033,2016-11-02 12:30:43,5.2921539288,1,11
25911,2251,2016-11-02 12:50:56,4.154158974,1,11
25912,66094,2016-11-02 13:09:28,4.9748429458,12,11
25913,52489,2016-11-02 13:15:01,5.2921539288,3,11
25914,14409,2016-11-02 13:19:33,6.0147747387,12,11
25915,1379,2016-11-02 13:21:06,5.1216759623,12,11
25916,39265,2016-11-02 13:39:16,3.862594545,1,11
25917,10100,2016-11-02 13:42:03,4.7230168221,1,11
25918,17474,2016-11-02 13:44:21,5.7227683627,3,11
25919,5725,2016-11-02 13:44:33,5.2921539288,1,11
25920,49817,2016-11-02 13:47:20,4.2926506987,12,11
25921,57684,2016-11-02 13:55:29,5.1535381047,3,11
25922,60643,2016-11-02 13:59:51,4.7230168221,6,11
25923,7965,2016-11-02 14:01:44,4.7230168221,12,11
25924,53807,2016-11-02 14:03:08,5.2921539288,12,11
25925,83383,2016-11-02 14:05:19,5.405415973999999,1,11
25926,70920,2016-11-02 14:22:47,4.8616016004,1,11
25927,62952,2016-11-02 14:29:36,4.9319900531,6,11
25928,14233,2016-11-02 14:41:37,5.8360407605999995,12,11
25929,47020,2016-11-02 14:44:43,4.7230168221,1,11
25930,39759,2016-11-02 14:47:19,6.1215451756,12,11
25931,69408,2016-11-02 14:59:03,4.2926506987,6,11
25932,11783,2016-11-02 15:10:29,4.5443733959,6,11
25933,40226,2016-11-02 15:12:51,6.5522053834000005,12,11
25934,4593,2016-11-02 15:17:26,5.2921539288,1,11
25935,59619,2016-11-02 15:18:08,3.862594545,1,11
25936,36483,2016-11-02 15:31:04,4.2926506987,6,11
25937,55804,2016-11-02 15:53:59,4.7230168221,1,11
25938,3924,2016-11-02 15:54:15,5.7227683627,12,11
25939,55685,2016-11-02 16:03:42,4.5443733959,1,11
25940,75473,2016-11-02 16:05:30,4.7230168221,1,11
25941,76274,2016-11-02 16:07:55,4.7230168221,1,11
25942,22242,2016-11-02 16:24:37,4.7230168221,6,11
25943,18152,2016-11-02 16:24:54,4.0713020592,1,11
25944,42425,2016-11-02 16:25:32,5.2921539288,12,11
25945,78773,2016-11-02 16:25:46,5.2921539288,1,11
25946,7886,2016-11-02 16:32:16,4.2926506987,6,11
25947,83731,2016-11-02 16:34:55,3.862594545,1,11
25948,83731,2016-11-02 16:37:50,3.862594545,1,11
25949,51385,2016-11-02 16:38:27,3.862594545,1,11
25950,22242,2016-11-02 16:53:00,4.7230168221,6,11
25951,68477,2016-11-02 16:55:16,4.7230168221,1,11
25952,23811,2016-11-02 17:01:29,5.7227683627,6,11
25953,73019,2016-11-02 17:09:36,3.862594545,12,11
25954,12026,2016-11-02 17:23:30,4.2926506987,3,11
25955,35221,2016-11-02 17:32:11,4.7230168221,12,11
25956,23023,2016-11-02 17:38:23,4.3518138119,6,11
