,uid,loan_time,loan_amount,plannum,month
8025,48018,2016-09-01 00:06:38,4.9748429458,1,09
8026,66509,2016-09-01 00:41:36,3.862594545,1,09
8027,40208,2016-09-01 00:48:58,5.6573110966,12,09
8028,72686,2016-09-01 00:48:54,5.7227683627,3,09
8029,58906,2016-09-01 01:13:30,6.584074881599999,1,09
8030,58569,2016-09-01 01:14:20,4.5443733959,1,09
8031,1053,2016-09-01 01:33:29,5.2921539288,3,09
8032,62456,2016-09-01 01:44:15,5.7227683627,12,09
8033,8252,2016-09-01 02:41:49,5.670965858500001,6,09
8034,33514,2016-09-01 02:45:09,6.4645507991999995,12,09
8035,43082,2016-09-01 03:44:53,4.7230168221,1,09
8036,53479,2016-09-01 04:07:27,5.7227683627,12,09
8037,45322,2016-09-01 04:38:52,6.1626642123,1,09
8038,11551,2016-09-01 05:44:05,3.862594545,1,09
8039,21974,2016-09-01 06:30:17,4.227255494,6,09
8040,2521,2016-09-01 06:59:54,5.2921539288,1,09
8041,157,2016-09-01 07:05:59,5.584137010499999,1,09
8042,12468,2016-09-01 07:08:11,5.8360407605999995,12,09
8043,4595,2016-09-01 07:30:44,4.9748429458,3,09
8044,54197,2016-09-01 07:35:29,5.781982259099999,1,09
8045,9624,2016-09-01 07:43:37,4.8616016004,1,09
8046,37296,2016-09-01 07:43:36,5.0705925702,1,09
8047,46233,2016-09-01 07:44:21,6.6290091515,3,09
8048,27667,2016-09-01 07:44:58,4.4058299903,1,09
8049,39793,2016-09-01 07:48:06,5.2537165092,1,09
8050,10312,2016-09-01 08:02:07,4.9748429458,6,09
8051,5382,2016-09-01 08:04:14,6.4053331376,12,09
8052,22887,2016-09-01 08:04:14,5.0705925702,1,09
8053,48428,2016-09-01 08:04:51,4.2926506987,1,09
8054,63730,2016-09-01 08:06:34,4.5015352816,12,09
8055,59420,2016-09-01 08:10:09,3.9756705649,1,09
8056,47245,2016-09-01 08:13:12,4.9748429458,1,09
8057,7020,2016-09-01 08:16:58,3.862594545,3,09
8058,19819,2016-09-01 08:17:26,4.0713020592,1,09
8059,12853,2016-09-01 08:18:53,4.2926506987,1,09
8060,76603,2016-09-01 08:20:28,3.9756705649,1,09
8061,3492,2016-09-01 08:21:01,5.1535381047,1,09
8062,70080,2016-09-01 08:20:56,5.6573110966,1,09
8063,80298,2016-09-01 08:25:59,4.2926506987,3,09
8064,12847,2016-09-01 08:28:44,3.862594545,1,09
8065,78014,2016-09-01 08:30:58,5.2921539288,1,09
8066,69493,2016-09-01 08:34:13,4.8616016004,12,09
8067,3718,2016-09-01 08:35:54,6.2126305766,1,09
8068,89949,2016-09-01 08:36:29,4.7230168221,1,09
8069,59708,2016-09-01 08:37:32,5.7227683627,12,09
8070,67302,2016-09-01 08:38:50,3.862594545,1,09
8071,3137,2016-09-01 08:39:07,3.862594545,1,09
8072,70171,2016-09-01 08:40:22,4.8616016004,3,09
8073,2289,2016-09-01 08:41:30,4.2926506987,1,09
8074,77371,2016-09-01 08:42:14,5.2921539288,1,09
8075,26543,2016-09-01 08:44:03,5.2921539288,12,09
8076,72311,2016-09-01 08:46:49,4.5443733959,3,09
8077,51051,2016-09-01 08:48:38,6.6432930139,6,09
8078,45910,2016-09-01 08:49:22,4.2926506987,1,09
8079,50466,2016-09-01 08:50:31,5.1051104668,1,09
8080,23696,2016-09-01 08:54:07,6.2126305766,3,09
8081,48998,2016-09-01 08:55:12,6.7227186589,3,09
8082,81901,2016-09-01 08:56:32,4.2926506987,1,09
8083,32224,2016-09-01 08:59:33,5.7227683627,12,09
8084,3969,2016-09-01 09:00:18,3.862594545,1,09
8085,1656,2016-09-01 09:03:23,5.405415973999999,1,09
8086,42434,2016-09-01 09:04:07,4.7230168221,1,09
8087,25776,2016-09-01 09:09:24,4.2926506987,1,09
8088,37388,2016-09-01 09:10:38,5.7227683627,1,09
8089,50421,2016-09-01 09:11:13,5.0705925702,1,09
8090,41147,2016-09-01 09:15:52,5.931812566900001,12,09
8091,13759,2016-09-01 09:18:37,3.862594545,1,09
8092,10841,2016-09-01 09:18:28,4.584447561499999,1,09
8093,32040,2016-09-01 09:19:00,5.6573110966,12,09
8094,31769,2016-09-01 09:22:07,4.4058299903,1,09
8095,27544,2016-09-01 09:22:20,3.862594545,12,09
8096,7652,2016-09-01 09:23:05,6.1534138563,1,09
8097,52215,2016-09-01 09:22:44,4.9748429458,1,09
8098,67367,2016-09-01 09:24:25,5.7227683627,12,09
8099,72526,2016-09-01 09:23:50,5.584137010499999,12,09
8100,63210,2016-09-01 09:26:04,5.7227683627,1,09
8101,63591,2016-09-01 09:26:42,6.1376838143,1,09
