,uid,shang10,shang9,shang8,shang11
0,4,5.494789432999999,,5.222846017,4.723016822
1,23,4.1709727768,3.862594545,3.8625945450000003,3.862594545
2,26,5.716524366,,,
3,39,4.633912247,4.800936903666666,4.292650699,4.185975510571429
4,43,4.974980898,5.07059257,5.722768362999999,5.2921539289999995
5,54,5.153538105,5.03595002825,,
6,64,4.220974673333333,,4.723016822,3.862594545
7,68,4.455523524,4.51400504325,4.2613870642857155,5.2794899785
8,69,3.862594545,,5.527250561000001,
9,71,4.723016822,3.862594545,4.292650699,4.292650699
10,72,4.451662437833333,,,4.4385491305
11,73,4.292650699,4.603921204666666,,4.307328547
12,80,4.657587153,5.722768362999999,,5.2921539289999995
13,81,5.657311097000001,3.862594545,4.227255494,5.657311097000001
14,83,4.861601599999999,,4.292650699,
15,85,5.010108605,4.827126000750001,5.54404215,
16,87,4.861601599999999,4.688047018333333,5.153538105,4.768061402
17,89,4.27630189775,4.292650699,4.465122704166666,4.490420880666667
18,92,4.005946596333334,4.460594432666666,4.3235502962,4.5078337605000005
19,100,6.014774739,5.7921042279999995,,6.292054527
20,103,5.396667157,,,
21,104,3.862594545,3.862594545,,5.153538105
22,109,5.501180385,4.292650699,,5.501180385
23,115,6.316422771,6.316422771,6.316422771,6.316422771
24,116,5.648905703666666,5.451697149,5.584137011,5.287234252399999
25,117,5.69003973,5.722768362999999,5.722768362999999,5.722768362999999
26,118,5.584137011,,,
27,121,5.2694744555,5.1647040994,5.1455563928000005,5.385296853125
28,127,5.037316478999999,4.7498257950000005,5.657311097000001,
29,134,5.501180385,,,
30,138,5.722768362999999,5.722768362999999,,5.722768362999999
31,139,4.797678053909092,4.7718414605,4.936462632125,5.086309445285714
32,142,5.722768363,5.718056079,5.718056079,5.722768362999999
33,147,4.723016822,5.226703564,,
34,153,5.885770109,,,
35,157,4.259112724,5.0317103412,5.8360407610000005,
36,159,5.931812567000001,5.931812567000001,5.931812567000001,5.931812567000001
37,163,4.460465830333333,4.460465830333333,4.292650699,
38,164,6.153413856,,,
