,uid,loan_sum,shang12
0,34939,6.316422771,6.316422771
1,80338,6.212630577,6.212630577
2,5018,6.153413856,6.153413856
3,58005,6.793132399,6.793132399
4,52453,4.292650699,4.292650699
5,45117,6.770536322,6.770536322
6,41592,5.501180385,5.501180385
7,8679,6.153413856,6.153413856
8,21745,5.405415974,5.405415974
9,45828,4.227255494,4.227255494
10,17226,5.292153929,5.292153929
11,90569,6.722718659,6.722718659
12,16838,5.405415974,5.405415974
13,27792,5.153538105,5.153538105
14,25820,5.292153929,5.292153929
15,583,6.405333138,6.405333138
16,51593,4.723016822,4.723016822
17,16281,5.292153929,5.292153929
18,6647,6.405333138,6.405333138
19,67759,5.292153929,5.292153929
20,68677,4.292650699,4.292650699
21,40036,5.384355326,5.384355326
22,34146,4.071302059,4.071302059
23,9050,5.153538105,5.153538105
24,78717,6.212630577,6.212630577
25,1112,6.292054527,6.292054527
26,20801,6.087953139,6.087953139
27,65281,7.045058337,7.045058337
28,7967,6.974644153,6.974644153
29,50348,7.014743673,7.014743673
30,2302,4.782208137,4.782208137
31,53629,5.722768363,5.722768363
32,35477,5.351362178,5.351362178
33,22711,6.637618812,6.637618812
34,40600,5.153538105,5.153538105
35,68050,6.684274102,6.684274102
36,11072,5.153538105,5.153538105
37,81074,5.885770109,5.885770109
38,53478,4.544373396,4.544373396
39,84057,5.836040761,5.836040761
40,58049,4.292650699,4.292650699
41,51635,6.05244065,6.05244065
42,41325,6.384269633,6.384269633
43,70230,5.885770109,5.885770109
44,52810,5.931812567,5.931812567
45,45486,5.584137011,5.584137011
46,40645,5.978805502,5.978805502
47,43024,7.052411412,7.052411412
48,40068,4.723016822,4.723016822
49,86572,5.781982259,5.781982259
50,23304,5.657311097,5.657311097
51,9745,6.153413856,6.153413856
52,63713,6.483098934,6.483098934
53,13974,5.74113247,5.74113247
54,71066,5.781982259,5.781982259
55,3691,6.946686099,6.946686099
56,13676,6.137683814,6.137683814
57,44761,6.153413856,6.153413856
58,32319,5.861402821,5.861402821
59,78792,6.535635912,6.535635912
60,73760,4.974842946,4.974842946
61,78257,6.83599934,6.83599934
62,76849,5.861402821,5.861402821
63,45671,5.405415974,5.405415974
64,9589,6.287064059,6.287064059
65,52283,5.501180385,5.501180385
66,27730,5.153538105,5.153538105
67,83161,5.45514134,5.45514134
68,43150,5.781982259,5.781982259
69,48263,4.723016822,4.723016822
70,82757,6.425705932,6.425705932
71,10393,4.292650699,4.292650699
72,80359,3.862594545,3.862594545
73,71443,5.657311097,5.657311097
74,21158,6.722718659,6.722718659
75,23684,6.670911833,6.670911833
76,75131,6.218253301,6.218253301
77,2452,5.501180385,5.501180385
78,2308,5.931812567,5.931812567
79,51736,3.862594545,3.862594545
80,3987,4.974842946,4.974842946
81,18868,5.97467729,5.97467729
82,45291,6.584074882,6.584074882
83,46772,6.121545176,6.121545176
84,39930,5.836040761,5.836040761
85,22042,6.006959593,6.006959593
86,63985,5.781982259,5.781982259
87,75048,6.462665165,6.462665165
88,61396,4.657587153,4.657587153
89,64066,6.087953139,6.087953139
90,58492,6.722718659,6.722718659
91,64139,4.974842946,4.974842946
92,5010,6.153413856,6.153413856
93,27720,6.614389175,6.614389175
94,64735,6.483098934,6.483098934
95,40119,5.292153929,5.292153929
96,4753,5.292153929,5.292153929
97,16635,4.292650699,4.292650699
98,45868,6.153413856,6.153413856
99,41015,3.862594545,3.862594545
100,46672,6.05244065,6.05244065
101,55956,6.153413856,6.153413856
102,28426,6.657255871,6.657255871
103,46117,6.287064059,6.287064059
104,86897,7.140836483,7.140836483
105,31235,6.382123471,6.382123471
106,50161,5.722768363,5.722768363
107,82685,6.405333138,6.405333138
108,8265,5.836040761,5.836040761
109,10859,5.621800638,5.621800638
110,19307,6.931777064,6.931777064
111,13102,5.292153929,5.292153929
112,62781,6.684274102,6.684274102
113,87854,5.722768363,5.722768363
114,38602,5.292153929,5.292153929
115,63024,6.05244065,6.05244065
116,78674,3.862594545,3.862594545
117,9967,5.722768363,5.722768363
118,45548,5.722768363,5.722768363
119,62308,5.405415974,5.405415974
120,74248,5.292153929,5.292153929
121,50815,4.8616016,4.8616016
122,13891,6.483098934,6.483098934
123,15366,6.781937074,6.781937074
124,18260,4.292650699,4.292650699
125,786,6.781937074,6.781937074
126,55741,4.723016822,4.723016822
127,21667,4.292650699,4.292650699
128,31116,4.292650699,4.292650699
129,30239,5.781982259,5.781982259
130,90989,5.931812567,5.931812567
131,15719,5.899944587,5.899944587
132,64469,4.292650699,4.292650699
