uid,DT1,DT2
4,4.537041171,4.72894624
5,5.712184232,6.697802267
6,5.712184232,6.375312668
17,5.712184232,5.720641111
19,5.712184232,5.926703631
20,0,0
23,4.537041171,3.867734675
26,0,0
27,0,0
28,0,0
39,4.537041171,4.263811093
43,5.712184232,5.335096216
45,5.712184232,5.548099523
47,0,0
54,0,0
56,5.712184232,6.697802267
57,5.712184232,5.720641111
60,5.712184232,5.335096216
61,4.537041171,5.010187954
64,4.537041171,3.867734675
68,5.712184232,5.335096216
69,0,0
70,5.712184232,6.146756872
71,4.537041171,4.263811093
72,4.537041171,4.41111722
73,4.537041171,4.263811093
77,0,0
79,4.537041171,3.867734675
80,5.712184232,5.335096216
81,5.712184232,5.720641111
83,0,0
85,0,0
87,4.537041171,4.72894624
89,4.537041171,4.562756508
92,4.537041171,4.562756508
100,5.712184232,6.375312668
103,0,0
104,5.712184232,5.178264079
109,5.712184232,5.548099523
112,0,0
115,5.712184232,6.375312668
116,5.712184232,5.335096216
117,5.712184232,5.720641111
118,0,0
121,5.712184232,5.335096216
126,4.537041171,4.876908061
127,0,0
133,5.712184232,6.375312668
134,0,0
138,5.712184232,5.720641111
139,4.537041171,5.010187954
142,5.712184232,5.720641111
144,0,0
147,0,0
150,5.712184232,6.375312668
153,0,0
157,0,0
158,0,0
159,5.712184232,5.926703631
163,0,0
164,0,0
170,4.537041171,4.41111722
172,4.537041171,5.010187954
177,5.712184232,5.926703631
179,0,0
181,4.537041171,4.72894624
182,4.537041171,4.72894624
183,5.712184232,5.178264079
186,0,0
188,4.537041171,4.72894624
191,5.712184232,5.548099523
193,4.537041171,3.867734675
195,0,0
201,5.712184232,5.926703631
202,4.537041171,4.876908061
203,4.537041171,4.72894624
208,0,0
211,0,0
215,4.537041171,4.41111722
216,5.712184232,5.720641111
229,0,0
235,5.712184232,5.335096216
236,5.712184232,5.720641111
237,0,0
239,5.712184232,5.548099523
241,5.712184232,5.335096216
243,0,0
253,0,0
255,0,0
258,5.712184232,5.926703631
259,4.537041171,4.72894624
261,5.712184232,5.720641111
266,5.712184232,5.720641111
274,0,0
276,5.712184232,6.146756872
280,0,0
283,5.712184232,5.178264079
287,5.712184232,5.335096216
290,0,0
294,0,0
295,5.712184232,5.335096216
298,4.537041171,4.263811093
305,0,0
307,0,0
308,0,0
313,0,0
315,4.537041171,4.263811093
316,4.537041171,4.72894624
320,0,0
321,4.537041171,4.263811093
325,5.712184232,6.146756872
327,0,0
329,0,0
334,5.712184232,5.926703631
339,5.712184232,5.335096216
343,5.712184232,5.720641111
348,4.537041171,4.72894624
354,5.712184232,6.697802267
358,4.537041171,5.010187954
360,0,0
361,4.537041171,4.562756508
364,0,0
365,0,0
367,4.537041171,4.263811093
368,4.537041171,4.876908061
375,0,0
384,0,0
385,4.537041171,4.41111722
387,4.537041171,4.72894624
389,5.712184232,5.926703631
391,0,0
393,4.537041171,4.72894624
394,5.712184232,6.375312668
397,0,0
400,5.712184232,5.926703631
404,4.537041171,4.876908061
406,4.537041171,4.41111722
408,0,0
419,5.712184232,5.548099523
420,4.537041171,4.562756508
421,4.537041171,4.04030148
425,5.712184232,5.720641111
429,0,0
431,0,0
436,4.537041171,4.72894624
438,0,0
439,4.537041171,4.876908061
440,4.537041171,3.867734675
441,0,0
443,0,0
444,4.537041171,4.562756508
449,0,0
451,4.537041171,4.72894624
452,0,0
458,4.537041171,4.263811093
460,4.537041171,4.72894624
463,5.712184232,5.335096216
470,5.712184232,5.926703631
471,0,0
473,4.537041171,4.263811093
476,0,0
477,0,0
478,5.712184232,6.146756872
483,5.712184232,5.720641111
485,5.712184232,5.720641111
488,0,0
489,0,0
490,5.712184232,5.720641111
496,0,0
501,0,0
503,0,0
504,4.537041171,4.72894624
505,5.712184232,6.146756872
506,4.537041171,4.876908061
509,0,0
510,0,0
516,0,0
517,4.537041171,4.876908061
521,0,0
528,0,0
530,0,0
531,0,0
539,5.712184232,5.335096216
540,0,0
543,0,0
547,4.537041171,4.263811093
551,0,0
555,5.712184232,5.720641111
558,0,0
560,0,0
561,0,0
562,0,0
565,0,0
568,4.537041171,4.876908061
569,5.712184232,6.697802267
573,5.712184232,6.146756872
575,0,0
576,0,0
578,4.537041171,3.867734675
581,0,0
582,4.537041171,4.72894624
583,5.712184232,5.548099523
586,4.537041171,5.010187954
587,5.712184232,5.335096216
590,0,0
591,0,0
594,4.537041171,4.263811093
596,5.712184232,5.178264079
598,5.712184232,6.146756872
599,0,0
604,0,0
606,4.537041171,4.263811093
611,5.712184232,5.335096216
613,4.537041171,3.867734675
614,0,0
615,0,0
616,5.712184232,5.720641111
618,4.537041171,4.876908061
619,0,0
620,5.712184232,5.335096216
622,4.537041171,5.010187954
623,5.712184232,5.548099523
625,4.537041171,4.72894624
627,5.712184232,5.178264079
630,5.712184232,5.335096216
641,5.712184232,6.697802267
642,0,0
643,5.712184232,5.335096216
646,5.712184232,5.178264079
647,5.712184232,5.926703631
649,0,0
651,4.537041171,4.263811093
654,0,0
659,4.537041171,4.04030148
660,5.712184232,5.335096216
661,5.712184232,5.720641111
662,0,0
666,4.537041171,3.867734675
668,4.537041171,4.263811093
671,4.537041171,5.010187954
673,0,0
676,4.537041171,3.867734675
681,5.712184232,5.720641111
682,0,0
683,4.537041171,4.72894624
685,0,0
688,0,0
691,4.537041171,4.562756508
692,0,0
693,5.712184232,5.178264079
696,4.537041171,5.010187954
697,0,0
700,0,0
704,0,0
706,4.537041171,4.41111722
711,5.712184232,6.697802267
717,0,0
721,5.712184232,5.720641111
723,5.712184232,5.720641111
729,0,0
738,5.712184232,5.926703631
739,4.537041171,4.562756508
740,0,0
741,5.712184232,6.375312668
744,0,0
745,4.537041171,4.263811093
746,5.712184232,5.720641111
751,0,0
754,4.537041171,4.263811093
755,5.712184232,6.375312668
758,4.537041171,4.876908061
759,0,0
760,4.537041171,5.010187954
764,4.537041171,4.72894624
765,4.537041171,4.72894624
769,5.712184232,6.375312668
770,4.537041171,5.010187954
772,0,0
774,5.712184232,6.375312668
781,5.712184232,5.178264079
782,5.712184232,5.720641111
786,5.712184232,5.335096216
793,0,0
796,5.712184232,5.335096216
798,4.537041171,4.876908061
804,4.537041171,4.263811093
806,5.712184232,5.926703631
813,0,0
814,4.537041171,4.876908061
815,5.712184232,6.146756872
818,4.537041171,4.263811093
819,4.537041171,4.04030148
825,4.537041171,4.72894624
828,0,0
830,5.712184232,6.146756872
832,5.712184232,5.335096216
834,0,0
836,4.537041171,5.010187954
837,0,0
839,0,0
