uid,xgb
4,4.653709412
20,6.049542427
23,5.722768307
28,5.4664011
39,5.648994446
43,1.011752605
53,3.917732239
64,1.011752605
68,1.011752605
69,1.011752605
71,5.647248745
81,5.091984749
83,5.974677086
85,1.011752605
87,1.011752605
89,1.011752605
92,6.049542427
107,5.526317596
115,5.134963512
116,4.838572502
117,3.917732239
121,5.726143837
125,1.011752605
127,5.871292114
139,4.26242733
142,5.038590431
145,5.397114277
148,1.011752605
157,3.917732239
159,5.091984749
163,5.4664011
177,1.011752605
179,1.011752605
181,5.70907402
182,5.023640633
186,5.038590431
187,5.812496185
188,1.011752605
191,4.935528755
193,1.011752605
199,5.325410366
201,1.011752605
202,5.722768307
203,5.722768307
208,5.292153835
215,1.011752605
235,5.722768307
239,1.011752605
243,5.292153835
248,1.011752605
258,6.177116394
261,1.011752605
282,5.974677086
283,5.983307362
295,5.974677086
298,1.011752605
315,1.011752605
322,1.011752605
329,1.011752605
334,6.049542427
339,1.011752605
354,1.011752605
358,1.011752605
360,5.292153835
361,1.011752605
364,1.011752605
365,5.259788513
367,4.838572502
385,5.648994446
394,1.011752605
400,4.653709412
404,5.442871571
406,4.978526115
419,1.011752605
426,1.011752605
429,5.337445259
438,5.990564346
439,4.745191574
440,1.011752605
458,1.011752605
460,5.722768307
461,5.820250511
464,4.653709412
469,1.011752605
470,1.011752605
473,5.023640633
474,5.4664011
478,1.011752605
485,5.325410366
488,5.4664011
489,1.011752605
497,5.722768307
503,5.134963512
504,1.011752605
505,1.011752605
506,1.011752605
517,1.011752605
528,5.292153835
530,4.653709412
539,5.526317596
540,5.4664011
543,1.011752605
553,5.722768307
555,1.011752605
558,1.011752605
562,4.978526115
565,5.134963512
568,1.011752605
569,1.011752605
572,5.990564346
575,5.023640633
576,1.011752605
580,1.011752605
581,1.011752605
583,1.011752605
587,4.901027203
591,4.653709412
592,1.011752605
594,4.26242733
596,1.011752605
613,5.722768307
616,1.011752605
618,1.011752605
619,5.722768307
622,5.292153835
623,5.4664011
625,4.653709412
630,6.049542427
636,4.838572502
641,1.011752605
642,5.397630692
647,1.011752605
654,1.011752605
660,4.26242733
661,4.838572502
666,1.011752605
671,1.011752605
