uid,four_result
4,0
20,0
23,4.742387412
28,0
39,5.565873542
43,3.974382039
53,0
64,3.349427409
68,4.313432413
69,0
71,4.835336009
81,5.556798684
83,0
85,0
87,4.416534084
89,3.958683196
92,5.330879678
107,0
115,5.8408392
116,5.715189673
117,5.173208105
121,5.848904189
125,0
127,0
139,5.468534306
142,5.971997342
145,0
148,0
157,0
159,5.786631957
163,0
177,4.472856153
179,0
181,5.173045478
182,5.452838759
186,0
187,0
188,4.148759149
191,5.824328209
193,3.786311022
199,0
201,4.625217637
202,5.918673932
203,5.014480673
208,0
215,4.03552533
235,5.589096739
239,4.782839536
243,0
248,0
258,6.396269625
261,4.362235331
282,0
283,5.348310686
295,6.067814894
298,4.092245061
315,3.81295992
322,0
329,0
334,6.257919849
339,4.791829081
354,4.681212713
358,3.864690773
360,0
361,4.035512225
364,0
365,0
367,4.489585881
385,5.231936022
394,4.471022137
400,5.442221172
404,5.908451983
406,5.2697658
419,4.527236658
426,0
429,0
438,0
439,5.252002117
440,3.304407389
458,3.368944649
460,5.644906327
461,0
464,0
469,0
470,4.510589865
473,4.988758296
474,0
478,4.434651561
485,5.586013591
488,0
489,0
497,0
503,0
504,4.629356944
505,4.515731486
506,4.118434666
517,4.242621088
528,0
530,0
539,5.848588964
540,0
543,0
553,0
555,4.442527467
558,0
562,0
565,0
568,4.214091248
569,4.81439793
572,0
575,0
576,0
580,0
581,0
583,4.721926177
587,5.218814725
591,0
592,0
594,5.067305435
596,3.916216678
613,5.799515151
616,4.385513436
618,4.260974506
619,0
622,5.477997515
623,5.858542591
625,5.263743497
630,5.637627194
636,0
641,4.588571859
642,0
647,4.492124619
654,0
660,5.373920242
661,5.783189404
666,3.105423055
671,0
676,4.440985909
681,5.608660274
691,5.31977289
693,4.164538785
704,0
706,5.429678839
711,4.669031969
741,5.876591481
744,0
745,5.626954421
750,0
754,0
757,0
758,5.218157383
761,0
769,4.670380333
774,4.824670568
781,4.209162223
782,5.766960479
786,4.685132854
804,5.373389077
805,0
813,0
814,4.527054924
815,5.604085266
818,4.099323728
819,4.466935572
826,0
832,5.330995692
836,5.089494719
837,0
841,0
842,4.215029052
854,0
855,0
859,0
870,0
873,4.733904666
874,3.238480762
893,4.398998718
894,5.716569898
895,0
897,0
900,4.814418375
903,0
911,0
912,4.295921566
913,0
916,3.975646765
918,0
920,6.044334062
921,0
930,5.85867071
948,0
955,4.052168501
957,4.759093141
960,5.63421326
964,4.2786905
974,4.445957394
976,0
977,0
978,0
981,3.278258814
997,4.740070053
1000,5.444397295
1005,0
1011,4.396737637
1022,5.645796519
1023,4.485764359
1028,4.082725913
1032,3.964947042
1036,0
1044,4.442217392
1045,0
1046,0
1050,4.404798245
1062,5.698357606
1071,4.440979453
1072,0
1080,0
1098,4.260432297
1101,0
1102,0
1107,0
1111,5.537810062
1116,0
1119,0
1125,0
1131,0
1132,5.441733256
1133,0
1139,5.947571514
1152,0
1166,4.772716711
1175,5.803098827
1176,5.573275491
1179,0
1190,0
1191,0
1192,5.444594068
1193,0
1194,0
1195,5.28578644
1205,5.414806418
1209,5.572736846
1216,5.747131793
1217,5.573493472
1219,0
1220,0
1229,5.076663316
1230,4.025061269
1238,6.080952132
1239,0
1240,0
1241,3.910711593
1244,5.734438434
1250,0
1254,0
1258,6.249608327
1259,4.517824809
1268,0
1270,5.051362875
1273,0
1275,0
1276,0
1279,0
1286,0
1306,0
1308,4.976237634
1312,0
1314,3.824841963
1317,0
1322,0
1324,0
1327,5.95670556
1328,4.252463501
1332,3.261155772
1337,4.343338893
1348,5.33956966
1350,0
1351,4.30980574
1355,5.535587743
1357,5.280452756
1358,4.560745969
1362,0
1369,5.622331499
1373,3.367642543
1377,5.591670588
1379,4.390788125
1382,0
1385,5.905233986
1387,4.106447245
1395,0
1396,5.222335536
1401,0
1402,4.527845595
1404,5.29251006
1409,0
1413,0
1430,0
1431,5.469612114
1435,4.627419949
1438,0
1443,0
1445,0
1452,5.293426652
1459,5.91890601
1465,0
1475,5.640491091
1478,4.01653663
1479,5.962789748
1484,5.665183954
1486,0
1488,0
1489,0
1497,4.560570145
1508,0
1513,0
1516,0
1518,4.675239231
1521,0
1524,4.210928294
1528,0
1529,5.758562504
1530,0
1539,4.291503328
1547,5.639229985
1556,0
1562,4.319885003
1563,5.449150902
1566,0
1577,0
1579,5.542926312
1586,0
1612,4.107080947
1614,4.083655241
1629,0
1633,5.387593511
1634,0
1638,0
1645,3.329703154
1649,0
1653,4.257729634
1656,6.096931147
1658,0
1660,0
1662,4.272057459
1667,0
1673,4.048998381
1687,0
1694,0
1698,5.75058413
1706,0
1712,4.124486444
1722,0
1725,5.192322825
1731,5.064190539
1735,4.206517111
1742,4.487062457
1752,0
1754,4.121417877
1759,4.621714265
1768,0
1775,4.531100373
1776,0
1783,3.865406027
1786,4.108425237
1787,0
1789,4.709619921
1804,4.006113182
1808,4.376559719
1809,0
1816,5.593933073
1819,5.739725406
1822,5.0498453
1823,0
1824,3.440211
1827,0
1830,0
1833,5.239431164
1842,6.148852864
1844,0
1852,4.082031524
1855,4.38828289
1856,5.048833602
1857,3.64132627
1862,0
1863,0
1864,6.246861704
1866,0
1871,0
1873,4.189266261
1876,0
1877,4.284088958
1889,5.588711839
1892,5.632158257
1906,5.897442644
1913,0
1919,0
1926,5.079123415
1930,4.662164307
1931,0
1941,3.991539132
1946,0
1957,0
1962,4.59205009
1963,0
1964,4.700598542
1979,0
1980,0
1983,0
1985,3.799241356
1988,5.502084833
1989,4.633947989
2004,4.702614524
2009,4.058710515
2012,0
2014,0
2015,5.54463704
2020,5.694079957
2021,0
2025,6.016392836
2030,0
2035,3.738383964
2039,4.284851582
2040,0
2043,0
2048,4.503024622
2053,0
2055,0
2056,5.426102111
2064,0
2065,5.05520494
2067,4.36594463
2070,4.230651597
2073,4.532566585
2077,4.049320779
2079,4.10560616
2081,0
2085,0
2088,0
2089,3.815814006
2093,0
2096,5.445632046
2105,0
2106,0
2109,0
2117,5.381883319
2120,0
2122,5.427507841
2125,5.184286494
2132,5.249178264
2135,6.220326071
2142,0
2144,4.574075093
